sub.id,sub.name,sub.sys,sub.status,pri.id,pri.name,pri.status,start,end
3,ACADIAN GAS PIPELINE SYSTEM,GT,ACTIVE,31618,Enterprise,Current,1995-04-21,2025-02-03
18,"ABBYVILLE, CITY OF",GD,ACTIVE,18,"ABBYVILLE, CITY OF",Current,1995-05-24,2025-02-03
21,"ACACIA NATURAL GAS, L.L.C.",GT,INACTIVE,32005,EnLink Midstream,Current,2014-03-07,2025-02-03
21,"ACACIA NATURAL GAS, L.L.C.",GT,INACTIVE,31304,Devon,Superseded,1995-05-03,2014-03-06
27,ABITA SPRINGS NAT GAS & WATER,GD,ACTIVE,27,ABITA SPRINGS NAT GAS & WATER,Current,1995-06-06,2025-02-03
45,"ADAIRSVILLE, CITY OF",GD,ACTIVE,45,"ADAIRSVILLE, CITY OF",Current,1995-04-20,2025-02-03
49,TOWN OF ADAMSVILLE GAS DEPT,GD,ACTIVE,49,TOWN OF ADAMSVILLE GAS DEPT,Current,1995-04-20,2025-02-03
54,"ADEL GAS DEPT, CITY OF",GD,ACTIVE,54,"ADEL GAS DEPT, CITY OF",Current,1995-04-20,2025-02-03
72,AGENDA GAS SYSTEM,GD,INACTIVE,72,AGENDA GAS SYSTEM,Current,1995-05-24,2025-02-03
81,"AGUILAR, TOWN OF",GD,ACTIVE,81,"AGUILAR, TOWN OF",Current,1995-04-20,2025-02-03
81,"AGUILAR, TOWN OF",GT,ACTIVE,81,"AGUILAR, TOWN OF",Current,1995-04-20,2025-02-03
117,AIR PRODUCTS & CHEMICALS INC,GT,ACTIVE,117,AIR PRODUCTS & CHEMICALS INC,Current,1995-04-20,2025-02-03
117,AIR PRODUCTS & CHEMICALS INC,HL,ACTIVE,117,AIR PRODUCTS & CHEMICALS INC,Current,2019-11-06,2025-02-03
144,AJAX PIPELINE CO,GD,INACTIVE,144,AJAX PIPELINE CO,Current,1995-04-20,2025-02-03
180,SPIRE ALABAMA INC.,GD,ACTIVE,180,ALABAMA GAS CORPORATION,Current,1995-05-24,2025-02-03
180,SPIRE ALABAMA INC.,GT,ACTIVE,180,ALABAMA GAS CORPORATION,Current,1995-05-24,2025-02-03
189,"BBT ALATENN, LLC",GT,ACTIVE,14435,OZARK GAS TRANSMISSION SYSTEM,Current,2020-04-01,2025-02-03
189,"BBT ALATENN, LLC",GT,ACTIVE,189,American Midstream,Superseded,1995-04-20,2020-03-31
207,"ALASKA PIPELINE COMPANY, LLC",GD,ACTIVE,4483,Enstar Natural Gas,Current,2014-06-06,2025-02-03
207,"ALASKA PIPELINE COMPANY, LLC",GT,ACTIVE,207,Alaska Pipeline,Current,1995-05-03,2025-02-03
225,ALBANY MUNICIPAL GAS CO,GD,ACTIVE,225,ALBANY MUNICIPAL GAS CO,Current,1995-05-24,2025-02-03
234,CITY OF ALBANY,GD,ACTIVE,234,ALBANY WATER GAS & LIGHT COMMISSION,Current,1987-06-04,2025-02-03
