sub.id,sub.name,sub.sys,pri.id,pri.name
3,ACADIAN GAS PIPELINE SYSTEM,GT,31618,Enterprise
18,"ABBYVILLE, CITY OF",GD,18,"ABBYVILLE, CITY OF"
21,"ACACIA NATURAL GAS, L.L.C.",GT,32005,EnLink Midstream
21,"ACACIA NATURAL GAS, L.L.C.",GT,31304,Devon
27,ABITA SPRINGS NAT GAS & WATER,GD,27,ABITA SPRINGS NAT GAS & WATER
45,"ADAIRSVILLE, CITY OF",GD,45,"ADAIRSVILLE, CITY OF"
49,TOWN OF ADAMSVILLE GAS DEPT,GD,49,TOWN OF ADAMSVILLE GAS DEPT
54,"ADEL GAS DEPT, CITY OF",GD,54,"ADEL GAS DEPT, CITY OF"
72,AGENDA GAS SYSTEM,GD,72,AGENDA GAS SYSTEM
81,"AGUILAR, TOWN OF",GD,81,"AGUILAR, TOWN OF"
81,"AGUILAR, TOWN OF",GT,81,"AGUILAR, TOWN OF"
117,AIR PRODUCTS & CHEMICALS INC,GT,117,AIR PRODUCTS & CHEMICALS INC
117,AIR PRODUCTS & CHEMICALS INC,HL,117,AIR PRODUCTS & CHEMICALS INC
144,AJAX PIPELINE CO,GD,144,AJAX PIPELINE CO
180,SPIRE ALABAMA INC.,GD,180,ALABAMA GAS CORPORATION
180,SPIRE ALABAMA INC.,GT,180,ALABAMA GAS CORPORATION
189,"BBT ALATENN, LLC",GT,14435,OZARK GAS TRANSMISSION SYSTEM
189,"BBT ALATENN, LLC",GT,189,American Midstream
207,"ALASKA PIPELINE COMPANY, LLC",GD,4483,Enstar Natural Gas
207,"ALASKA PIPELINE COMPANY, LLC",GT,207,Alaska Pipeline
225,ALBANY MUNICIPAL GAS CO,GD,225,ALBANY MUNICIPAL GAS CO
234,CITY OF ALBANY,GD,234,ALBANY WATER GAS & LIGHT COMMISSION
252,"ALEDO GAS DEPT, CITY OF",GD,252,"ALEDO GAS DEPT, CITY OF"
261,ALEXANDER CITY MUNICIPAL GAS,GD,261,ALEXANDER CITY MUNICIPAL GAS
270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",GD,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF"
288,"ALGONQUIN GAS TRANSMISSION, LLC",GT,19235,Enbridge
300,"PLAINS PIPELINE, L.P.",HL,300,Plains
315,ALLERTON GAS CO,GD,315,ALLERTON GAS CO
333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",GD,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF"
