"","sub.id","sub.name","sub.sys","sub.status","pri.id","pri.name","pri.status","start","end"
"1",3,"ACADIAN GAS PIPELINE SYSTEM","GT","ACTIVE",31618,"Enterprise","Current",1995-04-21,2025-01-26
"2",18,"ABBYVILLE, CITY OF","GD","ACTIVE",18,"ABBYVILLE, CITY OF","Current",1995-05-24,2025-01-26
"3",21,"ACACIA NATURAL GAS, L.L.C.","GT","INACTIVE",32005,"EnLink Midstream","Current",2014-03-07,2025-01-26
"4",21,"ACACIA NATURAL GAS, L.L.C.","GT","INACTIVE",31304,"Devon","Superseded",1995-05-03,2014-03-06
"5",27,"ABITA SPRINGS NAT GAS & WATER","GD","ACTIVE",27,"ABITA SPRINGS NAT GAS & WATER","Current",1995-06-06,2025-01-26
"6",45,"ADAIRSVILLE, CITY OF","GD","ACTIVE",45,"ADAIRSVILLE, CITY OF","Current",1995-04-20,2025-01-26
"7",49,"TOWN OF ADAMSVILLE GAS DEPT","GD","ACTIVE",49,"TOWN OF ADAMSVILLE GAS DEPT","Current",1995-04-20,2025-01-26
"8",54,"ADEL GAS DEPT, CITY OF","GD","ACTIVE",54,"ADEL GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"9",72,"AGENDA GAS SYSTEM","GD","INACTIVE",72,"AGENDA GAS SYSTEM","Current",1995-05-24,2025-01-26
"10",81,"AGUILAR, TOWN OF","GD","ACTIVE",81,"AGUILAR, TOWN OF","Current",1995-04-20,2025-01-26
"11",81,"AGUILAR, TOWN OF","GT","ACTIVE",81,"AGUILAR, TOWN OF","Current",1995-04-20,2025-01-26
"12",117,"AIR PRODUCTS & CHEMICALS INC","GT","ACTIVE",117,"AIR PRODUCTS & CHEMICALS INC","Current",1995-04-20,2025-01-26
"13",117,"AIR PRODUCTS & CHEMICALS INC","HL","ACTIVE",117,"AIR PRODUCTS & CHEMICALS INC","Current",2019-11-06,2025-01-26
"14",144,"AJAX PIPELINE CO","GD","INACTIVE",144,"AJAX PIPELINE CO","Current",1995-04-20,2025-01-26
"15",180,"SPIRE ALABAMA INC.","GD","ACTIVE",180,"ALABAMA GAS CORPORATION","Current",1995-05-24,2025-01-26
"16",180,"SPIRE ALABAMA INC.","GT","ACTIVE",180,"ALABAMA GAS CORPORATION","Current",1995-05-24,2025-01-26
"17",189,"BBT ALATENN, LLC","GT","ACTIVE",14435,"OZARK GAS TRANSMISSION SYSTEM","Current",2020-04-01,2025-01-26
"18",189,"BBT ALATENN, LLC","GT","ACTIVE",189,"American Midstream","Superseded",1995-04-20,2020-03-31
"19",207,"ALASKA PIPELINE COMPANY, LLC","GD","ACTIVE",4483,"Enstar Natural Gas","Current",2014-06-06,2025-01-26
"20",207,"ALASKA PIPELINE COMPANY, LLC","GT","ACTIVE",207,"Alaska Pipeline","Current",1995-05-03,2025-01-26
"21",225,"ALBANY MUNICIPAL GAS CO","GD","ACTIVE",225,"ALBANY MUNICIPAL GAS CO","Current",1995-05-24,2025-01-26
"22",234,"CITY OF ALBANY","GD","ACTIVE",234,"ALBANY WATER GAS & LIGHT COMMISSION","Current",1987-06-04,2025-01-26
"23",252,"ALEDO GAS DEPT, CITY OF","GD","ACTIVE",252,"ALEDO GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"24",261,"ALEXANDER CITY MUNICIPAL GAS","GD","ACTIVE",261,"ALEXANDER CITY MUNICIPAL GAS","Current",1995-04-20,2025-01-26
"25",270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF","GD","ACTIVE",270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF","Current",1995-05-24,2025-01-26
"26",288,"ALGONQUIN GAS TRANSMISSION, LLC","GT","ACTIVE",19235,"Enbridge","Current",1995-05-03,2025-01-26
"27",300,"PLAINS PIPELINE, L.P.","HL","ACTIVE",300,"Plains","Current",1988-08-09,2025-01-26
"28",315,"ALLERTON GAS CO","GD","ACTIVE",315,"ALLERTON GAS CO","Current",1995-05-24,2025-01-26
"29",333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF","GD","ACTIVE",333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF","Current",1995-06-06,2025-01-26
"30",342,"ALMA NATURAL  GAS SYSTEMS, CITY OF","GD","ACTIVE",342,"ALMA NATURAL GAS SYSTEMS, CITY OF","Current",1995-05-24,2025-01-26
"31",360,"ALTAMONT GAS DEPT, CITY OF","GD","ACTIVE",360,"ALTAMONT GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"32",383,"AMARILLO NATURAL GAS INC","GD","ACTIVE",383,"AMARILLO NATURAL GAS INC","Current",1995-04-20,2025-01-26
"33",383,"AMARILLO NATURAL GAS INC","GT","ACTIVE",383,"AMARILLO NATURAL GAS INC","Current",1995-04-20,2025-01-26
"34",386,"HESS CORP","GT","INACTIVE",401,"HESS CORPORATION","Current",1995-04-20,2025-01-26
"35",387,"ALTO NATURAL GAS CO, CITY OF","GD","ACTIVE",387,"ALTO NATURAL GAS CO, CITY OF","Current",1995-04-20,2025-01-26
"36",395,"AMOCO OIL CO","HL","ACTIVE",31189,"BP","Current",1989-09-14,2025-01-26
"37",401,"HESS CORPORATION","HL","INACTIVE",386,"HESS CORP","Current",1995-05-03,2025-01-26
"38",402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.","GT","INACTIVE",402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","Current",1995-05-03,2025-01-26
"39",402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.","HL","INACTIVE",402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","Current",1995-05-03,2025-01-26
"40",405,"ANR PIPELINE CO","GT","ACTIVE",405,"TransCanada","Current",1995-05-03,2025-01-26
"41",405,"ANR PIPELINE CO","UNGS","ACTIVE",405,"TransCanada","Current",2017-01-18,2025-01-26
"42",414,"HAINES GAS COMPANY, INC.","GD","INACTIVE",414,"HAINES GAS COMPANY, INC.","Current",1995-05-24,2025-01-26
"43",423,"AMERICUS UTILITY COMMISSION","GD","ACTIVE",423,"AMERICUS UTILITY COMMISSION","Current",1995-04-20,2025-01-26
"44",473,"WESTERN MIDSTREAM PARTNERS, LP","GD","ACTIVE",473,"ANADARKO PETROLEUM CORP","Current",1995-04-20,2025-01-26
"45",473,"WESTERN MIDSTREAM PARTNERS, LP","GT","ACTIVE",473,"ANADARKO PETROLEUM CORP","Current",1995-04-20,2025-01-26
"46",473,"WESTERN MIDSTREAM PARTNERS, LP","HL","ACTIVE",473,"ANADARKO PETROLEUM CORP","Current",1995-04-20,2025-01-26
"47",495,"ANDERSONVILLE GAS SYSTEM, CITY OF","GD","ACTIVE",495,"ANDERSONVILLE GAS SYSTEM, CITY OF","Current",1995-05-24,2025-01-26
"48",504,"ANDREASSI GAS COMPANY","GD","ACTIVE",504,"ANDREASSI GAS COMPANY","Current",1987-06-04,2025-01-26
"49",515,"DAKOTA GASIFICATION COMPANY","GT","ACTIVE",515,"DAKOTA GASIFICATION COMPANY","Current",1995-06-05,2025-01-26
"50",515,"DAKOTA GASIFICATION COMPANY","HL","ACTIVE",515,"DAKOTA GASIFICATION COMPANY","Current",1995-06-05,2025-01-26
"51",522,"ANNA MUNICIPAL GAS CO","GD","ACTIVE",522,"ANNA MUNICIPAL GAS CO","Current",1995-04-20,2025-01-26
"52",558,"APPLEBY NATURAL GAS SYSTEM","GD","ACTIVE",558,"APPLEBY NATURAL GAS SYSTEM","Current",1995-05-24,2025-01-26
