OPERATOR_ID,SYSTEM_TYPE,STATE,IYEAR,mileage,SYS
3,GT (Gas Transmission),LA,2005,408,GT
3,GT (Gas Transmission),LA,2006,408,GT
3,GT (Gas Transmission),LA,2007,408.226,GT
3,GT (Gas Transmission),LA,2008,407.906,GT
3,GT (Gas Transmission),LA,2009,444.857,GT
3,GT (Gas Transmission),LA,2010,444.053,GT
3,GT (Gas Transmission),LA,2011,709.77,GT
3,GT (Gas Transmission),LA,2012,722.3,GT
3,GT (Gas Transmission),LA,2013,706.989,GT
3,GT (Gas Transmission),LA,2014,723.707,GT
3,GT (Gas Transmission),LA,2015,729.089,GT
3,GT (Gas Transmission),LA,2016,719.7,GT
3,GT (Gas Transmission),LA,2017,719.992,GT
3,GT (Gas Transmission),LA,2018,720.814,GT
3,GT (Gas Transmission),LA,2019,1293.133,GT
3,GT (Gas Transmission),LA,2020,1293.434,GT
3,GT (Gas Transmission),LA,2021,1394.087,GT
3,GT (Gas Transmission),N/A,2010,0,GT
3,GT (Gas Transmission),N/A,2011,0,GT
3,GT (Gas Transmission),N/A,2012,0,GT
3,GT (Gas Transmission),N/A,2013,0,GT
3,GT (Gas Transmission),N/A,2014,0,GT
3,GT (Gas Transmission),N/A,2015,0,GT
3,GT (Gas Transmission),N/A,2016,0,GT
3,GT (Gas Transmission),N/A,2017,0,GT
3,GT (Gas Transmission),N/A,2018,0,GT
3,GT (Gas Transmission),N/A,2019,0,GT
3,GT (Gas Transmission),N/A,2020,0,GT
3,GT (Gas Transmission),N/A,2021,0,GT
18,GD (Gas Distribution),KS,2005,3,GD
18,GD (Gas Distribution),KS,2007,3,GD
18,GD (Gas Distribution),KS,2008,3,GD
18,GD (Gas Distribution),KS,2009,3,GD
18,GD (Gas Distribution),KS,2010,3,GD
18,GD (Gas Distribution),KS,2011,3,GD
18,GD (Gas Distribution),KS,2012,3,GD
18,GD (Gas Distribution),KS,2013,3,GD
18,GD (Gas Distribution),KS,2014,3,GD
18,GD (Gas Distribution),KS,2015,3,GD
18,GD (Gas Distribution),KS,2016,3,GD
18,GD (Gas Distribution),KS,2017,3,GD
18,GD (Gas Distribution),KS,2018,3,GD
18,GD (Gas Distribution),KS,2019,3,GD
18,GD (Gas Distribution),KS,2020,3,GD
18,GD (Gas Distribution),KS,2021,3,GD
21,GT (Gas Transmission),N/A,2005,0,GT
21,GT (Gas Transmission),N/A,2010,0,GT
21,GT (Gas Transmission),N/A,2011,0,GT
21,GT (Gas Transmission),N/A,2012,0,GT
21,GT (Gas Transmission),N/A,2013,0,GT
21,GT (Gas Transmission),N/A,2014,0,GT
21,GT (Gas Transmission),N/A,2015,0,GT
21,GT (Gas Transmission),N/A,2016,0,GT
21,GT (Gas Transmission),N/A,2017,0,GT
21,GT (Gas Transmission),N/A,2018,0,GT
21,GT (Gas Transmission),TX,2005,144,GT
21,GT (Gas Transmission),TX,2006,72,GT
21,GT (Gas Transmission),TX,2007,72,GT
21,GT (Gas Transmission),TX,2008,88,GT
21,GT (Gas Transmission),TX,2009,88,GT
21,GT (Gas Transmission),TX,2010,87.5,GT
21,GT (Gas Transmission),TX,2011,122.655,GT
21,GT (Gas Transmission),TX,2012,122.68,GT
21,GT (Gas Transmission),TX,2013,122.68,GT
21,GT (Gas Transmission),TX,2014,122.68,GT
21,GT (Gas Transmission),TX,2015,122.67,GT
21,GT (Gas Transmission),TX,2016,122.72,GT
21,GT (Gas Transmission),TX,2017,122.77,GT
21,GT (Gas Transmission),TX,2018,122.789,GT
27,GD (Gas Distribution),LA,2005,26,GD
27,GD (Gas Distribution),LA,2006,27,GD
27,GD (Gas Distribution),LA,2007,27,GD
