Operator ID,Pdf,Operator Name,Report ID,Incident Date,Incident City,Incident County,Incident State,Significant?,Part System,Serious?,Public Evacuation?,HCA?,Onsite Response Time,Install Year Failed Item,Cause,SubCause,# of Fatalities,# of Injuries,Total Cost,Public Property Damage,Incident Year,InTER or InTRA,IM Safety Program
3,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=12729 "" > Pdf</A>",ACADIAN GAS PIPELINE SYSTEM,20130033,2013-03-08,BELLE RIVER,ST. MARTIN,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,2880,1966,CORROSION,INTERNAL,0,0,334051,0,2013,INTRASTATE,ENTERPRISE
3,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=12730 "" > Pdf</A>",ACADIAN GAS PIPELINE SYSTEM,20130022,2013-01-25,FRANKLIN,ST. MARY,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,123,1966,CORROSION,INTERNAL,0,0,2157133,0,2013,INTRASTATE,ENTERPRISE
3,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=46851 "" > Pdf</A>",ACADIAN GAS PIPELINE SYSTEM,20180075,2018-06-25,NAPOLEONVILLE,ASSUMPTION,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1940,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,77000,0,2018,INTRASTATE,ENTERPRISE
3,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=95371 "" > Pdf</A>",ACADIAN GAS PIPELINE SYSTEM,20200102,2020-09-06,NAPOLEONVILLE,ASSUMPTION,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,39,1964,CORROSION,INTERNAL,0,0,710960,562000,2020,INTRASTATE,ENTERPRISE
3,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=96565 "" > Pdf</A>",ACADIAN GAS PIPELINE SYSTEM,20210052,2021-05-05,ERATH,VERMILION,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,Yes,0,,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,254765,246000,2021,INTRASTATE,ENTERPRISE
3,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=97670 "" > Pdf</A>",ACADIAN GAS PIPELINE SYSTEM,20180026,2018-01-14,GEISMAR,ASCENSION,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,36,1965,CORROSION,INTERNAL,0,0,817000,50000,2018,INTRASTATE,ENTERPRISE
207,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=67805 "" > Pdf</A>",ALASKA PIPELINE CO,20190125,2019-11-09,ANCHORAGE,ANCHORAGE,ALASKA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,17,1976,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,103185,0,2019,INTRASTATE,ALASKA PIPELINE
288,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=60085 "" > Pdf</A>","ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",20190004,2018-12-13,SOUTHINGTON,HARTFORD,CONNECTICUT,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,Yes,52,,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,198800,0,2018,INTERSTATE,ENBRIDGE
405,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=20935 "" > Pdf</A>",ANR PIPELINE CO,20140001,2013-12-02,NEW LONDON,DES MOINES,IOWA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,40,1960,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,400000,50000,2013,INTERSTATE,TRANSCANADA
405,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=24408 "" > Pdf</A>",ANR PIPELINE CO,20150018,2015-01-27,GRAND CHENIER,CAMERON,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0,0,1339179,5000,2015,INTERSTATE,TRANSCANADA
