DATAFILE_AS_OF,SIGNIFICANT,SERIOUS,RPTID,DOR,OPID,NAME,INADR,ACCTY,ACCNT,ACCST,ACZIP,CLASS,IFED,DTHH,IDATE,FAT,INJ,TOTAL_COST,TOTAL_COST_IN84,TOTAL_COST_CURRENT,OPJUD,STHH,STMN,TELRN,TELRT,INPRS,MXPRS,MPEST,TEST,CAUSE,MAP_CAUSE,MAP_SUBCAUSE,PRTLK,PRTLO,PRTFL,PRTFO,MLKD,MLKDO,NMDIA,THK,SPEC,MANU,MANYR,PRTYR,LOCLK,LOCLO,PNAME,PHONE,LOC,ADESC,ADESCO,CAUSR,CAUCO,COAT,PROT,CPYR,CAULK,DMGO,NOTIF,NOTDT,MARK,MRKTP,MRKTO,STAT,CAULC,CAULO,NARRATIVE
6/30/22,YES,YES,19860018,,13710,NORTHERN ILLINOIS GAS CO,15 WEST MONROE,VILLA PARK,DU PAGE,IL,4    ,4,NO,1325,1/2/86,0,1,0,0,0,Null,0,3,            ,19860103,25,60,BY TEST,100,CONSTRUCTION/OPERATING ERROR,INCORRECT OPERATION,INCORRECT OPERATION,SERVICE LINE, ,OTHER,PROCEDRE ERROR,STEEL, ,0.75,0.133,API 5L, ,0,1928,OTHER,BELL HOLE,GEORGE WALDVOGEL - GEN SUPV OPERATING,3126292500,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,ERROR IN OPERATING PROCEDURE APPLICATION, ,
6/30/22,YES,NO,19860022,,8160,INTERMOUNTAIN GAS CO,1925 SHOSHONE ST,BOISE,ADA,ID,3    ,3,NO,135,1/13/86,0,0,55000,52056.92225,115668.8813,Null,3,55,            ,19860113,55,60,,0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,BODY OF PIPE, ,STEEL, ,2,0.154, , ,0,1957,UNDER PAVEMENT, ,RICHARD J COULSON - DIST OPER MGR,2083776000,,, ,, ,,Null,,OUTSIDE/THIRD PARTY,FROST,NO,,NO,0, ,NO,, ,
6/30/22,NO,NO,19860023,,13360,NEW ORLEANS PUBLIC SERVICE INC,2509 TULANE AVE,NEW ORLEANS,ORLEANS,LA,3    ,3,NO,900,1/13/86,0,0,0,0,0,YES,1,0,            ,19860113,0.3,0.4,,0,DAMAGE BY OUTSIDE FORCES,NATURAL FORCE DAMAGE,EARTH MOVEMENT,MAIN, ,BODY OF PIPE, ,CAST IRON, ,6,0, , ,0,1938,UNDER PAVEMENT, ,ROBERT W VAUGHAN - GAS DIST SUPT,5045953511,,, ,, ,,Null,,EARTH MOVEMENT: OTHER,EXPANSION & CONTRACTION,NO,,NO,0, ,NO,, ,"BROKEN 6"" CAST IRON MAIN - GAS MIGRATED THROUGH CRACKS IN CONCRETE AND WAS IGNITED BY SERVICE TRUCK."
6/30/22,YES,YES,19860028,,13840,NORTHWEST NATURAL GAS CO,1017 NORTH EAST BEECH ST,PORTLAND,MULTNOMAH,OR,3    ,3,NO,1505,1/1/86,1,0,800000,757191.5963,1682456.455,Null,0,20,            ,19860102,0.3,0.5,BY CFR 192.619(A)(3),0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,METER SET ASSEMBLY, ,OTHER,METER REMOVED,STEEL, ,1.25,0.14, , ,0,1928,WITHIN/UNDER BUILDING, ,J F ERSPAMER - STAFF ENG,5032264211,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"THE BLAST DESTROYED THIS HOME AND DID MAJOR DAMAGE TO FOUR MORE. BROKEN WINDOWSWERE PREVALENT IN A FOUR-BLOCK AREA. SEVERAL PEOPLE WERE TREATED AT LOCAL HOSPITALS, BUT NONE REQUIRED HOSPITALIZATION AS FAR AS WE KNOW. THE METER WAS FOUND SOME DISTANCE AWAY FROM ITS NORMAL LOCATION, WITH GASKETS STILL IN PLACE. THE PORTLAND FIRE AND POLICE DEPARTMENTS PRESUME THAT THE INSIDE METER WAS REMOVED BY THE DECEASED, WITH SUICIDE AS HIS MOTIVE."
6/30/22,NO,NO,19860030,,3500,DOUBLE SPRINGS NATURAL GAS BOARD,HGWY 195 NORTH AND CHICKENFOOT RD, ,WINSTON,AL,3    ,3,NO,1043,1/10/86,0,0,0,0,0,YES,1,56,            ,19860110,150,300,,0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,FITTING, ,STEEL, ,0,0, , ,0,0,UNDER PAVEMENT, ,JIMMY CHILCOAT - GAS SUPT,2054895447,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,YES,, ,"PART D - THE STATE HIGHWAY DEPT. WAS INSTALLING  A NEW CULVERT, THEY HUNG THE GAS SERVICE LINE AND RIPPED A 1.24 HOLE IN GAS MIN AT THE TAP."
6/30/22,YES,NO,19860031,,13710,NORTHERN ILLINOIS GAS CO,1620 STRATTON POND LN,SCHAUMBURG,COOK,IL,3    ,3,NO,2050,1/27/86,0,0,150000,141973.4243,315460.5854,Null,3,10,            ,19860127,60,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,BODY OF PIPE, ,STEEL, ,2,0.154, , ,0,1985,UNDER GROUND OR UNDER WATER, ,F S LAWSON - GEN SUPR PRESSURE,3127246704,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,YES,, ,"DURING THE YEAR OF 1985 A INSTALLING UNDER GROUND FACILITIES HIT AND DAMAGED A 2"" GAS MAIN AT THE ABOVE ADDRESS. THIS ACCIDENT WAS NOT REPORTED TO NI-GAS AT THE TIME. SUBSEQUENTLY, A GAS LEAK RESULTED FROM THIS HIT AND IT MIGRATED INTO THEHOUSE CAUSING THE FIRE AND EXPLOSION OF 1/27/86. THIS STRUCTURE WAS NEW AND NOTOCCUPIED AT THE TIME OF THE EXPLOSION."
6/30/22,YES,YES,19860034,,1209,BAY STATE GAS CO,185 CANAL ST,LAWRENCE,ESSEX,MA,4    ,4,NO,727,1/11/86,0,1,500000,473244.7477,1051535.285,Null,7,40,            ,19860203,0.4,0.5,BY CFR 192.619(A)(3),0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,OTHER,WITHIN BUILDING,OTHER,UNKNOWN,NO DATA, ,0,0, , ,0,0,WITHIN/UNDER BUILDING, ,JOHN R SNOW - V PRES - DIV MGR,6176871105,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"FIRE IS UNDER INVESTIGATION BY STATE AUTHORITIES, FIRE MARSHALL'S OFFICE AND LOCAL ARSON SQUAD. ORIGIN IS UNKNOWN. THE DWELLING WAS UNOCCUPIED AT THE TIME OF THE INCIDENT."
6/30/22,YES,YES,19860035,,4499,ENTEX INC,198 W GEORGRTOWN ST,CRYSTAL SPRINGS,COPIAH,MS,3    ,3,NO,1510,2/4/86,8,0,250000,236622.3739,525767.6423,Null,4,20,            ,19860204,37,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,OTHER,SEE PART 3,POLYETHYLENE PLASTIC, ,0.5,0.09,ALDYL-A,DUPONT,0,1982,UNDER PAVEMENT, ,"J. RONALD POPE, SENIOR ENGINEER",7136545498,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,YES,7/1/85,YES,3,YELLOW PAINT,YES,, ,"1/2"" PLASTIC SERVICE LIEN WAS CUT APPROXIMATELY 7/85 BY OUTSIDE PARTY.  EXTEX PERSONNEL HAD MARKED LOCATION OF PIPE WITH YELLOW PAINT PRIOR TO EXCAVATION.  OUTSIDE PARTY REPAIRED PLASTIC PIPE WITH 1/2"" DRESSER TYPE COUPLING AND DID NOT NOTIFY ENTEX.  SOMETIME AFTER 7/85, SERVICE LINE PULLED OUT OF COUPLING."
6/30/22,YES,YES,19860036,,1640,BOSTON GAS CO,69 LUBEC ST,EAST BOSTON,EAST BOSTON,MA,3    ,3,NO,1020,1/5/86,0,1,200000,189297.8991,420614.1138,Null,2,0,            ,19860105,0.3,0,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,BODY OF PIPE, ,CAST IRON, ,6,0,UNK,UNK,0,1935,UNDER PAVEMENT, ,"CHARLES COTTING, SUPT. DISTRIBUTION",6173239210,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,NO,, ,"INVESTIGATION FOUND BROKEN 6"" CAST IRON MAIN IN PREVIOUSLY EXCAVATED WATER TRENCH APPROXIMATELY 14 FEET FROM HOUSE #69.  BROKEN CAST IRON MAIN PROBABLY DUE TO PREVIOUS EXCAVATION.  GAS MIGRATED INTO CELLAR CAUSING INCIDENT.  SOURCE OF IGNITION UNKNOWN.PART 2 - WE CHECKED HISTORICAL INFORMATION BACK THREE YEARS AND FOUND NO STREETOPENING PERMIT OR EXCAVATION NOTIFICATION. THE EXCAVATION MAY HAVE BEEN MADE SEVERAL YEARS AGO."
6/30/22,YES,YES,19860038,,18104,SAN ANTONIO CITY PUBLIC SERVICE BOARD,1306 W. HOLLYWOOD,SAN ANTONIO,BEXAR,TX,3    ,3,NO,1117,1/13/86,0,1,0,0,0,Null,0,1,            ,19860113,7,33,BY TEST,50,ACCIDENTALLY CAUSED BY OPERATOR,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,SERVICE LINE, ,JOINT,COMPR,STEEL, ,1.25,0.14,API 5L, ,0,1947,UNDER GROUND OR UNDER WATER, ,"W. F. REICHERT JR., SENIOR ENGINEER",5122273211,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,OPERATOR'S EMPLOYEE VIOLATED SAFETY PROCEDURES CAUSING FIRE. FIRE WAS IMMEDIATELY EXTINGUISHED.
6/30/22,YES,YES,19860041,,8250,IOWA ILLINOIS GAS & ELECTRIC,2580 8TH AVENUE,MARION,LINN,IA,3    ,3,NO,510,2/13/86,0,2,47000,44485.00628,98844.31675,Null,7,35,            ,19860213,28,30,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,NATURAL FORCE DAMAGE,TEMPERATURE,MAIN, ,BODY OF PIPE, ,STEEL, ,2.375,0.154,API-5L, ,0,1950,UNDER PAVEMENT, ,"RONALD R. WAIT, MANAGER, DISTRIBUTION DEPT.",3193267105,,, ,, ,,Null,,EARTH MOVEMENT: FROST, ,NO,,NO,0, ,NO,, ,"AT APPROX. 5:10 A.M., THERE WAS AN EXPLOSION AND FIRE AT 2580 8TH AVENUE, MARION, IA. THERE WERE FOUR PERSONS IN THE HOUSE AT THE TIME OF THE EXPLOSION. TWO ADULTS REMAIN HOSPITALIZED AND TWO CHILDREN WERE TREATED AND RELEASED. THE APPARENT CAUSE OF THE INCIDENT WAS THE IGNITION OF GAS WHICH HAD MIGRATED INTO THE BASEMENT OF 2580 8TH AVENUE FROM A CRACK IN A 2"" INTERMEDIATE PRESSURE STEEL MAIN IN26TH STREET JUST NORTH OF 8TH AVENUE. THE 2"" MAIN HAD PREVIOUSLY BEEN PULLED UPAND BENT AT THE POINT OF FAILURE. IT APPEARS THAT THE PIPE WAS STRESSED BY BEING PULLED AND FAILED RECENTLY DUE TO FROST ACTION ON THE PIPE. THE ONLY OTHER UTILITY IN THE VICINITY OF THE DAMAGED PIPE WAS A WATER MAIN WHICH WAS INSTALLED IN1976."
6/30/22,NO,NO,19860043,,8270,IOWA PUBLIC SERVICE CO,MAIN ST. & HWY 18,CYLINDER,PALO ALTO,IA,3    ,3,NO,2215,1/17/86,0,0,1500,1419.734243,3154.605854,YES,5,45,            ,,90,100,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,OTHER,PRESSURE RECORDED LINES,STEEL, ,0.75,0.154,API-5L, ,1967,1967,ABOVE GROUND, ,"THOMAS L. MITCHELL, GAS OPERATIONS ENGINEER",7122777595,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,NO,, ,"HIGHWAY 18 IN CYLINDER MAKES A 90 DEGREES TURN WITH FLASHING YELLOW LIGHTS. TRUCK DRIVER, DRIVING A SEMI-TRAILER TRUCK, WENT TO SLEEP. AWOKE IN TIME TO SEE FLASHING LIGHTS AND VEERED OFF TO AVOID STRIKING THEM. DRIVER STRUCK ABOVE GROUND DISTRICT REGULATING STATION. REGULATOR STATION IS APPROXIMATELY 100 FT. FROM FLASHING LIGHTS. TRUCK PASSED OVER TOP OF REGULATOR STATION AND BENT BOTH RISERS ANDSHEERED OFF THE HIGH PRESSURE AND THE INTERMEDIATE PRESSURE, PRESSURE RECORDINGLINES. THE SEMI-TRAILER STOPPED ON TOP OF REGULATOR STATION. TIME ELAPSED WAS DUE TO REMOVAL OF TRAILER AND UNTIL TEMPORARY REPAIRS COULD BE MADE."
6/30/22,YES,YES,19860045,,1800,BROOKLYN UNION GAS CO,1200 - HYLAN BLVD,STATEN ISLAND,RICHMOND,NY,4    ,4,NO,1920,2/2/86,0,1,50000,47324.47477,105153.5285,NO,0,17,            ,19860202,0.25,0,,0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,OTHER,INTERIOR PIPING,OTHER, ,OTHER, ,0,0, , ,0,0,WITHIN/UNDER BUILDING, ,"RALPH R. ROMANO, CUSTOMER SERVICE",7184033107,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,ARSON IS THE SUSPECTED CAUSE OF THE INCIDENT. A COUPLING WAS REMOVED FROM THE INTERIOR PIPING AND THE ESCAPING GAS WAS IGNITED FROM THE FIRES THAT ARE BELIEVEDTO HAVE BEEN PURPOSELY SET.
6/30/22,NO,NO,19860046,,792,ATLANTA GAS LIGHT CO,2080 COOPER LAKE DR.,SMYRNA,COBB,GA,3    ,3,NO,1050,2/20/86,0,0,45000,42592.02729,94638.17562,YES,0,34,            ,19860221,0,0,,0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,OTHER,BEYOND OPERATOR'S FACILIT,NO DATA, ,NO DATA, ,0,0, , ,0,0,WITHIN/UNDER BUILDING, ,"PAUL LAWSON, SUPT.",4044249000,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,THE SERVICE LINE TO THIS RESIDENCE WAS DISCONNECTED AND AIR TESTED WITH 62# OF PRESSURE FOR ONE HOUR AND TEN MINUTES.  THERE WAS NO LEAK ON SERVICE LINE.  BAR HOLES WERE DRIVEN ABOVE THE MAIN AT THIS LOCATION.  THE BAR HOLES WERE CHECKED WITH A COMBUSTIBLE GAS INDICATOR.  NO GAS WAS DETECTED WITH THE COMBUSTIBLE GAS INDICATOR.
6/30/22,YES,YES,19860047,,12684,MONTANA - DAKOTA UTILITIES CO,EAST OF CITY,BOWMAN,BOWMAN,ND,3    ,3,NO,1342,2/11/86,0,2,20000,18929.78991,42061.41138,Null,1,30,            ,19860211,38,40,BY CFR 192.619(A)(3),1,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,OTHER, ,NO DATA, ,NO DATA, ,0,0, , ,0,0,ABOVE GROUND, ,"K.L. LEGGATE, GAS SUPT.",7012270141,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,INCIDENT STILL UNDER INVESTIGATION - CAUSE UNKNOWN
6/30/22,YES,YES,19860048,,17620,ROCKY MOUNTAIN NATURAL GAS CO,778 SOPRIS AVE,CARBONDALE,GARFIELD,CO,3    ,3,NO,1420,2/13/86,0,1,100000,94648.94954,210307.0569,Null,18,20,            ,19860305,25,66,BY TEST,100,DAMAGE BY OUTSIDE FORCES,NATURAL FORCE DAMAGE,TEMPERATURE,OTHER,VALVE,VALVE, ,STEEL, ,2,0,FIG-149,EMCO-NORDSTORM,0,1961,OTHER,VALVE W/BOX UNDER CONCRET,"WILLARD CLAPPER, SAFETY DIRECTOR",3039458618,,, ,, ,,Null,,EARTH MOVEMENT: FROST, ,NO,,NO,0, ,NO,, ,"FROZEN WATER IN VALVE BOX SEEMS TO HAVE ACCUMULATED AND PRESSURE DOWN ON TOP OFVALVE BROKE THE BODY NEXT TO OUTGOING FLANGE.  BECAUSE OF FROZEN GROUND AND CEMENT STREET COVER, THE GAS COULD NOT COME TO THE SURFACE AND DISSIPATE.  THE ORDOR ALSO WAS REMOVED FROM THE GAS FROM THE FROZEN GROUND, AND WE DID NOT RECEIVE ""GAS LEAK"" CALLS.  ONLY AFTER ARRIVING ON THE SCENE AND SEEING WHAT HAPPENED DID WE KNOW OF A POSSIBLE GAS LEAK.  ADDITIONAL INFORMATION CONTAINED IN LETTER."
