DATAFILE_AS_OF,SIGNIFICANT,SERIOUS,RPTID,DOR,OPID,NAME,INTER,IDATE,DTHH,ACSTATE,ACCOUNTY,ACCITY,OFFSHORE,COOR,IFED,SPLOC,TELRN,CSYS,ORGLK,ORGLO,ITMYR,CAUSE,CAUSO,MAP_CAUSE,MAP_SUBCAUSE,TFAT,EFAT,NFAT,TINJ,EINJ,NINJ,TOTAL_COST,TOTAL_COST_IN84,TOTAL_COST_CURRENT,COMM,CLASS,LOSS,RECOV,FIRE,EXP,NMDIA,THK,SMYS,JNT,GRND,DSPRS,ACPRS,PRTST,DUR,MXPRS,TSTMM,TSTYY,CORLC,FACTD,FACAT,CORR,CORRO,CAULK,CAULO,PREVT,ONECL,ONEOT,EXCAL,TMPMK,PNAME,PHONE,NARRATIVE
6/30/22,YES,NO,19860003,,22907,WYCO PIPE LINE CO,YES,1/6/86,1600,CO,EL PASO, ,NO, ,NO,EAST OF COLORADO SPRINGS APPROX 8 MI SEC 9 T 15-S R65W NW1/4, ,LINE PIPE,PIPE, ,1966,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,0,0,0,0,57000,53949.90124,119875.0224,GASOLINE,3,1175,4,NO,NO,6,0.19,2383,WELDED,,1440,800,YES,24,1910,9,66,NO DATA,Null,Null,NO DATA, ,DAMAGE BY OTHERS, ,Null,OTHER,CALL FOR LOCATE,NO,YES,H C OLIVER - AREA MGR DUPONT OPER,3038304778,
6/30/22,YES,NO,19860005,,18194,SEMINOLE PIPELINE CO,YES,1/13/86,1022,TX,CONCHO, ,NO, ,YES,RIVERSIDE RANCH CORP 144-TX-CO-12 MAP # 9008-AL-45 STATION 11482+85, ,PUMPING STATION,NO DATA, ,1982,OTHER,PUMP SEAL,ALL OTHER CAUSES,MISCELLANEOUS,0,0,0,0,0,0,1500,1419.734243,3154.605854,NATURAL GAS LIQUID,2,50,0,YES,NO,0,0,0,NO DATA,,0,0,Null,0,0,0,0,NO DATA,Null,Null,NO DATA, ,NO DATA, ,Null,NO DATA, ,Null,Null,S F ISAACS - PRES,9185811800,
6/30/22,YES,NO,19860027,,12628,MOBIL PIPELINE CO,Null,1/30/86,600,TX,CALDWELL,LULING,NO, ,NO,"MOBIL PIPE LINE COMPANY TANK FARM ON HWY 90 AT EAST CITY LIMITS OF LULING, TX.", ,TANK FARM,TANK, ,1963,CORROSION,"CORROSION, INTERNAL",CORROSION,INTERNAL,0,0,0,0,0,0,0,0,0,CRUDE OIL,1,400,350,NO,NO,0,0,0,NO DATA,,0,0,Null,0,0,0,0,INTERNAL,Null,YES,OTHER,INTERNAL,NO DATA, ,Null,NO DATA, ,Null,Null,"D.L. DENNARD, VICE PRESIDENT OPERATIONS",2146582226,"CRUDE OIL WAS DISCOVERED LEAKING FROM THE BOTTOM OF TANK NO. 2852 AT 0600 ON JANUARY 30, 1986. THE TANK WAS IMMEDIATELY TAKEN OUT OF SERVICE AND PUMPED DOWN, WHICH STOPPED THE LEAK. THE ESCAPED CRUDE OIL, WHICH WAS CONTAINED IN THE FIRE WALL, WAS PICKED UP AND RETURNED TO THE PIPELINE SYSTEM. THE BOTTOM OF THIS TANK WAS EPOXY COATED AT THE TIME IT WAS CONSTRUCTED IN 1963. TANKNO. 2652 WILL BE CLEANED, GAS FREED AND TAKEN OUT OF SERVICE."
6/30/22,YES,NO,19860028,,12628,MOBIL PIPELINE CO,NO,1/15/86,1543,TX,JASPER, ,NO, ,NO,"FORM VIDOR, TEXAS, TAKE 105 NORTH APPROXIMATELY 8-10 MILES, TURN RIGHT ON GIST ROAD TO MOBIL PIPE LINE RIGTHS-OF-WAY, ACCIDENT WAS APPROXIMATELY 200 YARDS NORTH", ,LINE PIPE,PIPE, ,1926,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,0,0,0,0,0,0,0,GASOLINE,2,164,87,NO,NO,0,0,0,NO DATA,,0,0,Null,0,0,0,0,NO DATA,Null,Null,NO DATA, ,DAMAGE BY OTHERS, ,Null,OTHER,"AERIAL SURVEILLANCE, PIPE",NO,NO,"D.L. DENNARD, VICE PRESIDENT OPERATIONS",2146582226,"A CONTRACTOR WAS GRADING A LOGGING ROAD FOR THE KIRBY LUMBER COMPANY WITH A DOZER WHEN HE STRUCK AND RUPTURED THE 8"" PRODUCTS PIPELINE. THERUPTURE WAS 8 INCHES LONG AND 4 INCHES WIDE. MOBIL PIPE LINE HAD NOT BEEN NOTIFIED THAT THE DOZER WOULD BE WORKING NEAR OUR PIPELINE. THE PIPELINE WAS MARKED AT GIST ROAD, 200 YARDS FROM THE ACCIDENT SITE. THE RIGHT-OF-WAY WAS CLEARED IN THE AREA WHERE THE DOZER STRUCK THE PIPELINE."
6/30/22,YES,NO,19860029,,18273,SHELL PIPE LINE CORP,YES,2/7/86,1400,TX, , ,NO, ,NO,"SE 1/4, SW 1/4, SECTION 890, BLOCK D, JOHN H. GIBSON SURVEY ONE MILE EAST OF DENVER CITY ON FARM ROAD P-15 WASSON HOBBS 6-INCH.", ,LINE PIPE,PIPE, ,1939,CORROSION,"CORROSION, EXTERNAL",CORROSION,EXTERNAL,0,0,0,0,0,0,0,0,0,CRUDE OIL,1,200,150,NO,NO,7,0.28,25000,WELDED,,0,400,NO,0,0,0,0,EXTERNAL,Null,YES,GALVANIC, ,NO DATA, ,Null,NO DATA, ,Null,Null,"M.J. EICHLER, MANAGER REGULATIONS & MAINT. STANDARDS",7132416262,
6/30/22,YES,NO,19860030,,18273,SHELL PIPE LINE CORP,NO,1/30/86,1930,TX,FORT BEND,KATY,NO, ,NO,"3700 FEET SOUTH SOUTHWEST OF M.P. 409 CINCO RANCH VENTURE AREA HOPE-HOUSTON 10-INCH PIPELINE, W.M. WHELESS SURVEY", ,LINE PIPE,PIPE, ,1955,CORROSION,"CORROSION, INTERNAL",CORROSION,INTERNAL,0,0,0,0,0,0,0,0,0,CRUDE OIL,1,3000,2999,NO,NO,10,0.28,35000,WELDED,,700,111,YES,12,800,0,55,INTERNAL,Null,YES,GALVANIC, ,NO DATA, ,Null,NO DATA, ,Null,Null,"M.J. EICHLER, MGR., REGULATIONS & MAINT STANDARDS",7132416262,
6/30/22,YES,NO,19860031,,18718,SUN PIPELINE CO,YES,1/31/86,1500,NJ,MERCER,WEST WINDSOR,NO, ,NO,"4,484 FEET SOUTH OF ALEXANDER ROAD, WEST WINDSOR TOWNSHIP, MERCER SOUNTY, NEW JERSEY. PARALLEL AND ADJACENT TO THE DELAWARE AND RAITAN CANAL.", ,LINE PIPE,PIPE, ,1956,OTHER,DAMAGE BY OTHERS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,0,0,0,0,0,0,0,GASOLINE,1,3589,0,YES,YES,14,0.25,52000,WELDED,,1200,1163,YES,51,1520,0,56,NO DATA,Null,YES,NO DATA, ,DAMAGE BY OTHERS, ,Null,OTHER,AERIAL PATROL,NO,YES,"CLARENCE J. YABLONSKI, MGR.",2159642523,"IT APPEARS PIPE WAS DAMAGED BY THIRD PARTY. UNDER INVESTIGATION. UNLEADED REGULAR GASOLINE. MR. RON LINDSEY, SUN PIPE LINE COMPANY FOREMAN,WAS NOTIFIED AT 1526 ON JANUARY 31, 1986, BY J. EDWARDS OF CANAL POINTE ASSOCIATION, PRINCETOWN, NJ, THAT THERE WAS A LEAK IN THE PIPE LINE SOUTH OF ALEXANDER ROAD IN THE AREA OF WEST CARNEGIE BOULEVARD. UPON ARRIVING AT THE SITE, MR. LINDSEY OBSERVED AN APPROXIMATELY 3-FOOT GASH ON TOP OF THE PIPE LINE. GASOLINE HAD ENTERED THE DELAWARE AND RARITAN CANAL AND SUBSEQUENTLY WAS CONTAINED BY SPILL BOOMS. AT APPROXIMATELY 2001, 1/31/86, A FIRE AND EXPLOSION OCCURRED DOWNSTREAM IN THE VICINITY OF THE ELIZABETHTOWN WATER COMPANY PUMPING STATION. THE FIRE ON THE CANAL ICE WAS ALLOWED TO BURN ITSELF OUT DURING THE NIGHT. FIREMEN FROM VARIOUS LOCAL FIRE COMPANIES WERE AT THE SCENE DURING THE TIME OF THE LEAK, FIRE AND REPAIR OF THE PIPE LINE."
6/30/22,YES,NO,19860032,,15490,PHILLIPS PIPE LINE CO,NO,2/7/86,600,TX,HUTCHINSON, ,NO, ,NO,"LINE BP - BEAVER - BORGER, MP 48-03+31, SEC.22, BLK. M-25, T&CRR SURVEY", ,LINE PIPE,PIPE, ,1930,INCORRECT OPERATION BY OPERATOR PERSONNEL, ,INCORRECT OPERATION,INCORRECT OPERATION,0,0,0,0,0,0,0,0,0,CRUDE OIL,1,1300,212,NO,NO,8,0.28,30000,WELDED,,1200,1245,NO,0,0,0,0,NO DATA,Null,Null,NO DATA, ,NO DATA, ,Null,NO DATA, ,Null,Null,"B.L. THORMAN, VICE PRESIDENT",9186614721,LINE WAS ACCIDENTLY BLOCKED IN AND LINE FAILED WHEN THE PRESSURE REACHED 1220 PSIG AT BEAVER STATION.
6/30/22,YES,NO,19860033,,9175,JAYHAWK PIPELINE CORP,YES,1/30/86,1045,KS,HASKELL, ,NO, ,NO,"NE/4 SECTION 25, T29S, R33W APPROXIMATELY 2 1/2 MILES NW OF SUBLETTE, KS - WHEAT FIELD.", ,LINE PIPE,NO DATA, ,1958,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,0,0,0,0,0,0,0,CRUDE OIL,1,970,820,NO,NO,7,0.19,35000,WELDED,,800,300,NO,0,0,0,0,NO DATA,Null,Null,NO DATA, ,DAMAGE BY OTHERS, ,Null,OTHER,WARNING SIGNS,NO,NO,"DENNIS E. SMITH, PRESIDENT",3162679669,"APPROXIMATELY 1045 JANUARY 30, 1986 A CONTRACT DOZER DIGGING A PIT FOR A NEW OIL WELL LOCATION SEVERED JAYHAWK'S 6"" PIPELINE 2 1/2 MILES NORTHWEST OF SUBLETTE, KS. AN EMPLOYEE WITH THE DRILLING COMPANY HAD ANOTHER PARTYNOTIFY JAYHAWK OF THE ACCIDENT AT 1100. A JAYHAWK EMPLOYEE AT UPSTREAM PUMP STATION HAD NOTICED THE PRESSURE DROP AND WAS SHUTTING DOWN THE LINE WHEN NOTIFIED OF THE ACCIDENT. THE OIL SPILL AND DRAINAGE FROM THE PIPE LINE WAS CONTAINED IN THE PIT THAT WAS BEING DUG AT THE TIME OF THE ACCIDENT. 820 BARRELS WERE RECOVERED WITH AN ESTIMATED 150 BARRELS SOAKED INTO THE LOOSE SOIL IN THE PIT AREA. DAMAGED PIPE WAS REMOVED AND A REPLACEMENT SECTION ON 6 58"" O.D., .188, 5L GR. B, 50' 1/2"" PRE-TESTED PIPE WAS INSTALLED ON JANUARY 31, 1986. THE LINE WAS BACK IN OPERATION AT 1250. JAYHAWK PIPE LINE MARKERS WERE ON EACH SIDE OF COUNTY ROAD SOME 1,100 FEET NORTH OF ACCIDENT.WARNING -ROAD CROSSING SIGNS-PASS OUT LITERATURE."
6/30/22,YES,NO,19860034,,22855,WOOD RIVER PIPELINE CO,YES,2/10/86,1430,MN,DAKOTA,INVER GROVE HEIGHTS,NO, ,NO,MAP ENCLOSED, ,LINE PIPE,GIRTH, ,1986,FAILED WELD, ,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED WELD,0,0,0,0,0,0,3000,2839.468486,6309.211708,CRUDE OIL,2,300,200,NO,NO,18,0.25,0,WELDED,,1440,250,YES,8,1581,0,77,NO DATA,Null,Null,NO DATA, ,NO DATA, ,Null,NO DATA, ,Null,Null,"J.H. KLEIS, MANAGER",6124592424,"INSTALLED CROSSOVER VALVES FROM 18"" TO 16"" LINES WEEK OF JANUARY 10, 1986. ALL WELDS WERE RADIOGRAPHICALLY INSPECTED AND FOUND SATISFACTORY. WELD W-49 LET LOOSE."
