"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA2NAMEOFPARENT_COM,PARTA4NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCONNG,PARTCONPG,PARTCONSG,PARTCONHG,PARTCONLFG,PARTCONOG,PARTCOFFNG,PARTCOFFPG,PARTCOFFSG,PARTCOFFHG,PARTCOFFLFG,PARTCOFFOG,PARTCOGNAME,PARTCCHECK,PARTDTONCPB,PARTDTONCPC,PARTDTONCUB,PARTDTONCUC,PARTDTONCI,PARTDTONWI,PARTDTONP,PARTDTONC,PARTDTONO,PARTDTONTOTAL,PARTDTOFFCPB,PARTDTOFFCPC,PARTDTOFFCUB,PARTDTOFFCUC,PARTDTOFFCI,PARTDTOFFWI,PARTDTOFFP,PARTDTOFFC,PARTDTOFFO,PARTDTOFFTOTAL,PARTDTCPBTOTAL,PARTDTCPCTOTAL,PARTDTCUBTOTAL,PARTDTCUCTOTAL,PARTDTCITOTAL,PARTDTWITOTAL,PARTDTPTOTAL,PARTDTCTOTAL,PARTDTOTOTAL,PARTDTTOTAL,PARTDGONTACPB,PARTDGONTACPC,PARTDGONTACUB,PARTDGONTACUC,PARTDGONTACI,PARTDGONTAWI,PARTDGONTAP,PARTDGONTAC,PARTDGONTAO,PARTDGONATOTAL,PARTDGONTBCPB,PARTDGONTBCPC,PARTDGONTBCUB,PARTDGONTBCUC,PARTDGONTBCI,PARTDGONTBWI,PARTDGONTBP,PARTDGONTBC,PARTDGONTBO,PARTDGONBTOTAL,PARTDGOFFCPB,PARTDGOFFCPC,PARTDGOFFCUB,PARTDGOFFCUC,PARTDGOFFCI,PARTDGOFFWI,PARTDGOFFP,PARTDGOFFC,PARTDGOFFO,PARTDGOFFTOTAL,PARTDGCPBTOTAL,PARTDGCPCTOTAL,PARTDGCUBTOTAL,PARTDGCUCTOTAL,PARTDGCITOTAL,PARTDGWITOTAL,PARTDGPTOTAL,PARTDGCTOTAL,PARTDGOTOTAL,PARTDGTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCITOTAL,PARTDWITOTAL,PARTDPTOTAL,PARTDCTOTAL,PARTDOTOTAL,PARTDTOTALMILES,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
08/01/22,2010,20110198,22215,3,ACADIAN GAS PIPELINE SYSTEM,,ENTERPRISE PRODUCTS PARTNERS LLC,1100 Lousiana,THIBODAUX,TX,77002,Natural Gas,,LOUISIANA,0,8.604,8.604,157937,0,0,0, ,0,,,,, ,,,,0,444.053,0,0,0,0,0,0,0,444.053,0,0,0,0,0,0,0,0,0,0,0,444.053,0,0,0,0,0,0,0,444.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.053,0,0,0,0,0,0,0,444,INITIAL,8/4/11,8/4/11,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110759,22823,21,ACACIA NATURAL GAS CORP,Devon Energy Corporation,Devon Energy Corporation,20 N. Broadway,THE WOODLANDS,OK,73102,Natural Gas,,TEXAS,0,0,0,249216,0,0,0, ,0,,,,, ,,,,0,87.5,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,87.5,0,29,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,29,0,116.5,0,0,0,0,0,0,0,117,INITIAL,8/15/11,8/15/11,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110934,24213,117,AIR PRODUCTS & CHEMICALS INC,,"Air Products and Chemicals, Inc.",7201 HAMILTON BLVD.,ALLENTOWN,PA,181951501,Hydrogen Gas,TEXAS,"CALIFORNIA, KANSAS, LOUISIANA, OHIO, TEXAS",0,18,18,,,,397372, ,,,,,, ,,,No,0,455,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,455,SUPPLEMENTAL,9/14/11,2/28/12,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110595,22700,117,AIR PRODUCTS & CHEMICALS INC,,"Air Products and Chemcials, Inc.",7201 HAMILTON BLVD.,ALLENTOWN,PA,181951501,Other Gas-Carbon Monoxide (CO),,TEXAS,0,2.6,2.6,,,,, ,12401,,,,, ,,,,0,90,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,90,SUPPLEMENTAL,8/15/11,8/15/11,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110593,24212,117,AIR PRODUCTS & CHEMICALS INC,,"Air Products and Chemicals, Inc.",7201 HAMILTON BLVD.,ALLENTOWN,PA,181951501,Synthetic Gas,,TEXAS,0,2,2,,,5896,, ,,,,,, ,,,No,0,29,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,29,SUPPLEMENTAL,8/15/11,2/28/12,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110675,23050,144,AJAX PIPELINE CO,BIG TWO MILE GAS COMPANY,Ajax Pipe Line Company,P.O. Box 6190,CHARLESTON,WV,25362,Natural Gas,,WEST VIRGINIA,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,21,0,0,34,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,21,0,0,34,0,13,0,0,0,0,21,0,0,34,SUPPLEMENTAL,8/15/11,9/15/11,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110689,22745,180,ALABAMA GAS CORPORATION,Energen,Alabama Gas Corporation,605 Richard Arrington Jr Blvd N,BIRMINGHAM,AL,35203,Natural Gas,,ALABAMA,0,25.5,25.5,0,0,0,0, ,0,,,,, ,,,,1,249.5,0,0,0,0,0,0,0,250.5,0,0,0,0,0,0,0,0,0,0,1,249.5,0,0,0,0,0,0,0,250.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,249.5,0,0,0,0,0,0,0,251,INITIAL,8/15/11,8/15/11,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110716,22775,189,"AMERICAN MIDSTREAM (ALATENN), LLC",,American Midstream,"1614 15TH STREET, SUITE 300",DENVER,CO,80202,Natural Gas,"ALABAMA, MISSISSIPPI, TENNESSEE",,0,13.97,13.97,17467302,,,, ,,,,,, ,,,,0,295,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,295,INITIAL,8/15/11,8/15/11,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110515,25551,207,ALASKA PIPELINE CO,,Alaska Pipeline Co.,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,AK,99519,Natural Gas,,ALASKA,0,30.56,30.56,20888,,,, ,,7823,,,, ,,,,0,332.45,0,0,0,0,0,0,0,332.45,0,17.25,0,0,0,0,0,0,0,17.25,0,349.7,0,0,0,0,0,0,0,349.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.7,0,0,0,0,0,0,0,350,SUPPLEMENTAL,8/12/11,3/15/12,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110547,22758,288,ALGONQUIN GAS TRANSMISSION CO (SPECTRA ENERGY CORP),"Spectra Energy Transmission, LLC","Spectra Energy Transmission, LLC",5400 Westheimer Court,HOUSTON,TX,77056,Natural Gas,"CONNECTICUT, MASSACHUSETTS, NEW JERSEY, NEW YORK, RHODE ISLAND",,0,326.35,326.35,561006,,,, ,,14679,,,, ,,,,0,1083.78,0,0,0,0,0,0,0,1083.78,0,42.55,0,0,0,0,0,0,0,42.55,0,1126.33,0,0,0,0,0,0,0,1126.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126.33,0,0,0,0,0,0,0,1126,SUPPLEMENTAL,8/13/11,8/15/11,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20111015,25739,383,AMARILLO NATURAL GAS INC,,"Amarillo Natural Gas, Inc.",2915 I-40 West,AMARILLO,TX,79109,Natural Gas,,TEXAS,,,,0,,,, ,,,,,, ,,,No,0,38.58,0,0,0,0,0,0,0,38.58,0,0,0,0,0,0,0,0,0,0,0,38.58,0,0,0,0,0,0,0,38.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.58,0,0,0,0,0,0,0,39,SUPPLEMENTAL,12/19/11,5/7/12,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110276,22304,386,HESS CORPORATION,,HESS CORPORATION,1501 MCKINNEY STREET,HOUSTON,TX,77002,Natural Gas,,TEXAS,0,0,0,2295,,,, ,,,,,, ,,,,0,6.4,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,6,INITIAL,8/9/11,8/9/11,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110812,25039,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","MarkWest Energy Partners, L.P.","MarkWest Energy Partners, L.P.","1515 Arapahoe St, Tower 1, Suite 1600",Denver,CO,80202,Natural Gas,,TEXAS,0,16.1,16.1,74400.276,,,, ,,,,,, ,,,No,0,16.1,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,16.1,0,33,0,0,0,0,0,0,0,33,0,51,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,84,0,100.1,0,0,0,0,0,0,0,100,SUPPLEMENTAL,8/16/11,3/11/12,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110557,25829,405,ANR PIPELINE CO,Transcanada Pipelines Limited,ANR PIPELINE CO,717 TEXAS AVE,HOUSTON,TX,77002,Natural Gas,"ARKANSAS, ILLINOIS, INDIANA, IOWA, KANSAS, KENTUCKY, LOUISIANA, MICHIGAN, MISSISSIPPI, MISSOURI, NEBRASKA, OHIO, OKLAHOMA, TENNESSEE, TEXAS, WISCONSIN",,0,345.8,345.8,1275354,,,, ,,248750,,,, ,,,No,0,9374.8,0,0,0,0,0,0,0,9374.8,0,589.6,0,0,0,0,0,0,0,589.6,0,9964.4,0,0,0,0,0,0,0,9964.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9964.4,0,0,0,0,0,0,0,9964,SUPPLEMENTAL,8/13/11,6/25/12,7100.2-1 (Rev. 06-2011)
08/01/22,2010,20110087,22649,473,ANADARKO PETROLEUM CORP,,Anadarko Petro. Corp.,1201 Lake Robbin Dr.,Woodlands,TX,77380,Natural Gas,WYOMING,"COLORADO, KANSAS, TEXAS, UTAH, WYOMING",0,1.16,1.16,250006.909,,,, ,,,,,, ,,,No,0,689.5,0,0,0,0,0,0,0,689.5,0,0,0,0,0,0,0,0,0,0,0,689.5,0,0,0,0,0,0,0,689.5,0,81,0,0,0,0,0,0,0,81,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,84,0,773.5,0,0,0,0,0,0,0,774,SUPPLEMENTAL,7/25/11,8/15/11,7100.2-1 (Rev. 06-2011)
