"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAONSHORE,PARTB192MILESON,PARTBCLASS34MILESON,PARTBCLASS12MILESON,PARTBHCAOFFSHORE,PARTB192MILESOFF,PARTBCLASS34MILESOFF,PARTBCLASS12MILESOFF,PARTBHCATOTAL,PARTB192MILESTOTAL,PARTBCLASS34MILESTOTAL,PARTBCLASS12MILESTOTAL,PARTCONNG,PARTCONPG,PARTCONSG,PARTCONHG,PARTCONLFG,PARTCONOG,PARTCOFFNG,PARTCOFFPG,PARTCOFFSG,PARTCOFFHG,PARTCOFFLFG,PARTCOFFOG,PARTCOGNAME,PARTCCHECK,PARTDTONCPB,PARTDTONCPC,PARTDTONCUB,PARTDTONCUC,PARTDTONCI,PARTDTONWI,PARTDTONP,PARTDTONC,PARTDTONO,PARTDTONTOTAL,PARTDTOFFCPB,PARTDTOFFCPC,PARTDTOFFCUB,PARTDTOFFCUC,PARTDTOFFCI,PARTDTOFFWI,PARTDTOFFP,PARTDTOFFC,PARTDTOFFO,PARTDTOFFTOTAL,PARTDTCPBTOTAL,PARTDTCPCTOTAL,PARTDTCUBTOTAL,PARTDTCUCTOTAL,PARTDTCITOTAL,PARTDTWITOTAL,PARTDTPTOTAL,PARTDTCTOTAL,PARTDTOTOTAL,PARTDTTOTAL,PARTDGONTACPB,PARTDGONTACPC,PARTDGONTACUB,PARTDGONTACUC,PARTDGONTACI,PARTDGONTAWI,PARTDGONTAP,PARTDGONTAC,PARTDGONTAO,PARTDGONATOTAL,PARTDGONTBCPB,PARTDGONTBCPC,PARTDGONTBCUB,PARTDGONTBCUC,PARTDGONTBCI,PARTDGONTBWI,PARTDGONTBP,PARTDGONTBC,PARTDGONTBO,PARTDGONBTOTAL,PARTDGOFFCPB,PARTDGOFFCPC,PARTDGOFFCUB,PARTDGOFFCUC,PARTDGOFFCI,PARTDGOFFWI,PARTDGOFFP,PARTDGOFFC,PARTDGOFFO,PARTDGOFFTOTAL,PARTDGCPBTOTAL,PARTDGCPCTOTAL,PARTDGCUBTOTAL,PARTDGCUCTOTAL,PARTDGCITOTAL,PARTDGWITOTAL,PARTDGPTOTAL,PARTDGCTOTAL,PARTDGOTOTAL,PARTDGTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCITOTAL,PARTDWITOTAL,PARTDPTOTAL,PARTDCTOTAL,PARTDOTOTAL,PARTDTOTALMILES,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
8/1/22,2016,20175557,32457,3,ACADIAN GAS PIPELINE SYSTEM,1100 LOUISIANA ST.,HOUSTON,TX,77002,Natural Gas,,LOUISIANA,15.474,,,,0,,,,15.474,,,,549560,,,,,,,,,,,,,No,0.004,719.697,0,0,0,0,0,0,0,719.701,0,0,0,0,0,0,0,0,0,0,0.004,719.697,0,0,0,0,0,0,0,719.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,719.697,0,0,0,0,0,0,0,719.701,INITIAL,3/8/17,3/8/17,7100.2-1 (Rev. 10-2014)
8/1/22,2016,20175449,34933,21,"ACACIA NATURAL GAS, L.L.C.","2501 CEDAR SPRINGS RD, SUITE 100",DALLAS,TX,75201,Natural Gas,,TEXAS,1.13,,,,0,,,,1.13,,,,233187,,,,,,,,,,,,,No,0,122.723,0,0,0,0,0,0,0,122.723,0,0,0,0,0,0,0,0,0,0,0,122.723,0,0,0,0,0,0,0,122.723,0,0.61,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0.61,0,123.333,0,0,0,0,0,0,0,123.333,SUPPLEMENTAL,3/6/17,4/30/18,7100.2-1 (Rev. 10-2014)
8/1/22,2016,20176070,32997,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Hydrogen Gas,"LOUISIANA, TEXAS","CALIFORNIA, KANSAS, OHIO, TEXAS",17.63,,,,0,,,,17.63,,,,,,,269964,,,,,,,,,,No,0,612.93,0,0,0,0,0,0,0,612.93,0,0,0,0,0,0,0,0,0,0,0,612.93,0,0,0,0,0,0,0,612.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.93,0,0,0,0,0,0,0,612.93,INITIAL,3/15/17,3/15/17,7100.2-1 (Rev. 10-2014)
8/1/22,2016,20175818,32731,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Carbon Monoxide (CO),,TEXAS,2.01,,,,0,,,,2.01,,,,,,,,,12643,,,,,,,,No,0,91.67,0,0,0,0,0,0,0,91.67,0,0,0,0,0,0,0,0,0,0,0,91.67,0,0,0,0,0,0,0,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.67,0,0,0,0,0,0,0,91.67,INITIAL,3/13/17,3/13/17,7100.2-1 (Rev. 10-2014)
8/1/22,2016,20175816,32729,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Fuel Gas,,LOUISIANA,0.82,,,,0,,,,0.82,,,,,,,,,0,,,,,,,,No,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,INITIAL,3/13/17,3/13/17,7100.2-1 (Rev. 10-2014)
8/1/22,2016,20175813,32726,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Synthetic Gas,,TEXAS,1.74,,,,0,,,,1.74,,,,,,3324,,,,,,,,,,,No,0,22.79,0,0,0,0,0,0,0,22.79,0,0,0,0,0,0,0,0,0,0,0,22.79,0,0,0,0,0,0,0,22.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.79,0,0,0,0,0,0,0,22.79,INITIAL,3/13/17,3/13/17,7100.2-1 (Rev. 10-2014)
8/1/22,2016,20175945,32865,180,ALABAMA GAS CORPORATION,2101 6TH AVE N,BIRMINGHAM,AL,35203,Natural Gas,,ALABAMA,25.8,,,,0,,,,25.8,,,,,,,,,,,,,,,,,Yes,0,224.64,0,0,0,0,0,0,0,224.64,0,0,0,0,0,0,0,0,0,0,0,224.64,0,0,0,0,0,0,0,224.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.64,0,0,0,0,0,0,0,224.64,INITIAL,3/14/17,3/14/17,7100.2-1 (Rev. 10-2014)
8/1/22,2016,20176144,33078,189,"AMERICAN MIDSTREAM (ALATENN), LLC","2103 CITYWEST BLVD., BUILDING 4, SUITE 800",HOUSTON,TX,77042,Natural Gas,"ALABAMA, MISSISSIPPI, TENNESSEE",,21.13,,,,0,,,,21.13,,,,20985,,,,,,,,,,,,,No,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,INITIAL,3/15/17,3/15/17,7100.2-1 (Rev. 10-2014)
8/1/22,2016,20175835,33144,207,ALASKA PIPELINE CO,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,AK,99519,Natural Gas,,ALASKA,36.525,,,,0,,,,36.525,,,,,,,,,,,,,,,,,No,0,388.683,0,0,0,0,0,0,0,388.683,0,0,0,0,0,0,0,0,0,0,0,388.683,0,0,0,0,0,0,0,388.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.683,0,0,0,0,0,0,0,388.683,SUPPLEMENTAL,3/13/17,3/16/17,7100.2-1 (Rev. 10-2014)
8/1/22,2016,20175707,33285,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",5400 WESTHEIMER COURT,HOUSTON,TX,77056,Natural Gas,"CONNECTICUT, MASSACHUSETTS, NEW JERSEY, NEW YORK, RHODE ISLAND",,333.53,,,,2.75,,,,336.28,,,,836248,,,,,,,,,,,,,No,0,1093.53,0,0,0,0,0,0,0,1093.53,0,46.79,0,0,0,0,0,0,0,46.79,0,1140.32,0,0,0,0,0,0,0,1140.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.32,0,0,0,0,0,0,0,1140.32,SUPPLEMENTAL,3/10/17,7/10/17,7100.2-1 (Rev. 10-2014)
