"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAONSHORE,PARTB192MILESON,PARTBCLASS34MILESON,PARTBCLASS12MILESON,PARTBHCAOFFSHORE,PARTB192MILESOFF,PARTBCLASS34MILESOFF,PARTBCLASS12MILESOFF,PARTBHCATOTAL,PARTB192MILESTOTAL,PARTBCLASS34MILESTOTAL,PARTBCLASS12MILESTOTAL,PARTB1SMEM1,PARTB1SMEM2,PARTB1SMET,PARTB1RRM1,PARTB1RRM2,PARTB1RRT,PARTB1QUANM1,PARTB1QUANM2,PARTB1QUANT,PARTB1PROBM1,PARTB1PROBM2,PARTB1PROBT,PARTB1SBM1,PARTB1SBM2,PARTB1SBT,PARTB1OTHM1,PARTB1OTHM2,PARTB1OTHT,PARTB1M1T,PARTB1M2T,PARTB1MT,PARTCONNG,PARTCONPG,PARTCONSG,PARTCONHG,PARTCONLFG,PARTCONOG,PARTCOFFNG,PARTCOFFPG,PARTCOFFSG,PARTCOFFHG,PARTCOFFLFG,PARTCOFFOG,PARTCOGNAME,PARTCCHECK,PARTDTONCPB,PARTDTONCPC,PARTDTONCUB,PARTDTONCUC,PARTDTONCI,PARTDTONWI,PARTDTONP,PARTDTONC,PARTDTONO,PARTDTONTOTAL,PARTDTOFFCPB,PARTDTOFFCPC,PARTDTOFFCUB,PARTDTOFFCUC,PARTDTOFFCI,PARTDTOFFWI,PARTDTOFFP,PARTDTOFFC,PARTDTOFFO,PARTDTOFFTOTAL,PARTDTCPBTOTAL,PARTDTCPCTOTAL,PARTDTCUBTOTAL,PARTDTCUCTOTAL,PARTDTCITOTAL,PARTDTWITOTAL,PARTDTPTOTAL,PARTDTCTOTAL,PARTDTOTOTAL,PARTDTTOTAL,PARTDGONTACPB,PARTDGONTACPC,PARTDGONTACUB,PARTDGONTACUC,PARTDGONTACI,PARTDGONTAWI,PARTDGONTAP,PARTDGONTAC,PARTDGONTAO,PARTDGONATOTAL,PARTDGONTBCPB,PARTDGONTBCPC,PARTDGONTBCUB,PARTDGONTBCUC,PARTDGONTBCI,PARTDGONTBWI,PARTDGONTBP,PARTDGONTBC,PARTDGONTBO,PARTDGONBTOTAL,PARTDGONTCCPB,PARTDGONTCCPC,PARTDGONTCCUB,PARTDGONTCCUC,PARTDGONTCCI,PARTDGONTCWI,PARTDGONTCP,PARTDGONTCC,PARTDGONTCO,PARTDGONCTOTAL,PARTDGOFFCPB,PARTDGOFFCPC,PARTDGOFFCUB,PARTDGOFFCUC,PARTDGOFFCI,PARTDGOFFWI,PARTDGOFFP,PARTDGOFFC,PARTDGOFFO,PARTDGOFFTOTAL,PARTDGCPBTOTAL,PARTDGCPCTOTAL,PARTDGCUBTOTAL,PARTDGCUCTOTAL,PARTDGCITOTAL,PARTDGWITOTAL,PARTDGPTOTAL,PARTDGCTOTAL,PARTDGOTOTAL,PARTDGTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCITOTAL,PARTDWITOTAL,PARTDPTOTAL,PARTDCTOTAL,PARTDOTOTAL,PARTDTOTALMILES,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
03/01/24,2022,20230983,42422,3,ACADIAN GAS PIPELINE SYSTEM,1100 LOUISIANA ST.,HOUSTON,TX,77002,Natural Gas,,LOUISIANA,27.225,148.239,37.739,1180.677,0,0,0,0,27.225,148.239,37.739,1180.677,0,0,0,0,27.225,27.225,0,0,0,0,0,0,0,0,0,0,0,0,0,27.225,27.225,834071,,,,,,,,,,,,,No,0,1393.88,0,0,0,0,0,0,0,1393.88,0,0,0,0,0,0,0,0,0,0,0,1393.88,0,0,0,0,0,0,0,1393.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.504,0,0,0,0,0,0,0,5.504,0,0,0,0,0,0,0,0,0,0,0,5.504,0,0,0,0,0,0,0,5.504,0,1399.384,0,0,0,0,0,0,0,1399.384,INITIAL,3/14/23,3/14/23,7100.2-1 (Rev. 3-2022)
03/01/24,2022,20230466,43001,117,AIR PRODUCTS & CHEMICALS INC,1940 AIR PRODUCTS BLVD,ALLENTOWN,PA,18106,Hydrogen Gas,"LOUISIANA, TEXAS","CALIFORNIA, OHIO, TEXAS",19.16,63.21,54.99,433.2,0,0,0,22.06,19.16,63.21,54.99,455.26,0,0,0,0,0,0,0,592.63,592.63,0,0,0,0,0,0,0,0,0,0,592.63,592.63,,,,254769.54,,,,,,,,,,No,0,570.55,0,0,0,0,0,0,0,570.55,0,22.06,0,0,0,0,0,0,0,22.06,0,592.61,0,0,0,0,0,0,0,592.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.61,0,0,0,0,0,0,0,592.61,SUPPLEMENTAL,3/7/23,5/24/23,7100.2-1 (Rev. 3-2022)
03/01/24,2022,20230461,41862,117,AIR PRODUCTS & CHEMICALS INC,1940 AIR PRODUCTS BLVD,ALLENTOWN,PA,18106,Other Gas-Carbon Monoxide,,TEXAS,1.84,0.48,32.83,54.73,0,0,0,0,1.84,0.48,32.83,54.73,0,0,0,0,0,0,0,89.87,89.87,0,0,0,0,0,0,0,0,0,0,89.87,89.87,,,,,,7832.85,,,,,,,Carbon Monoxide,No,0,89.88,0,0,0,0,0,0,0,89.88,0,0,0,0,0,0,0,0,0,0,0,89.88,0,0,0,0,0,0,0,89.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.88,0,0,0,0,0,0,0,89.88,INITIAL,3/7/23,3/7/23,7100.2-1 (Rev. 3-2022)
03/01/24,2022,20230446,41847,117,AIR PRODUCTS & CHEMICALS INC,1940 AIR PRODUCTS BLVD,ALLENTOWN,PA,18106,Other Gas-Fuel Gas,LOUISIANA,,0.58,0.09,2.09,7.23,0,0,0,0,0.58,0.09,2.09,7.23,0,0,0,0,0,0,0,9.99,9.99,0,0,0,0,0,0,0,0,0,0,9.99,9.99,,,,,,0,,,,,,,Fuel Gas,No,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,INITIAL,3/7/23,3/7/23,7100.2-1 (Rev. 3-2022)
03/01/24,2022,20230444,41845,117,AIR PRODUCTS & CHEMICALS INC,1940 AIR PRODUCTS BLVD,ALLENTOWN,PA,18106,Synthetic Gas,,TEXAS,1.45,2.54,7.09,11.02,0,0,0,0,1.45,2.54,7.09,11.02,0,0,0,0,0,0,0,22.1,22.1,0,0,0,0,0,0,0,0,0,0,22.1,22.1,,,1384.94,,,,,,,,,,,No,0,22.1,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,22.1,INITIAL,3/7/23,3/7/23,7100.2-1 (Rev. 3-2022)
03/01/24,2022,20231322,42787,180,SPIRE ALABAMA INC.,605 RICHARD ARRINGTON JR BLVD N,BIRMINGHAM,AL,35203,Natural Gas,,ALABAMA,27.66,41.65,31.857,121.353,0,0,0,0,27.66,41.65,31.857,121.353,0,0,0,0,0,0,0,27.66,27.66,0,0,0,0,0,0,0,0,0,0,27.66,27.66,,,,,,,,,,,,,,No,0,222.521,0,0,0,0,0,0,0,222.521,0,0,0,0,0,0,0,0,0,0,0,222.521,0,0,0,0,0,0,0,222.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.521,0,0,0,0,0,0,0,222.521,INITIAL,3/15/23,3/15/23,7100.2-1 (Rev. 3-2022)
03/01/24,2022,20231287,42749,189,"BBT ALATENN, LLC","BLACK BEAR TRANSMISSION, LLC 1501 MCKINNEY, SUITE 800",HOUSTON,TX,77010,Natural Gas,"ALABAMA, MISSISSIPPI, TENNESSEE",,13.171,24.109,32.231,227.886,0,0,0,0,13.171,24.109,32.231,227.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32931,,,,,,,,,,,,,No,0,297.397,0,0,0,0,0,0,0,297.397,0,0,0,0,0,0,0,0,0,0,0,297.397,0,0,0,0,0,0,0,297.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.397,0,0,0,0,0,0,0,297.397,INITIAL,3/15/23,3/15/23,7100.2-1 (Rev. 3-2022)
03/01/24,2022,20230623,42036,207,ALASKA PIPELINE CO,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,AK,99519,Natural Gas,,ALASKA,41.003,76.267,33.113,238.188,0,0,0,0,41.003,76.267,33.113,238.188,0,41.003,41.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.003,41.003,,,,,,,,,,,,,,Yes,0,387.591,0,0,0,0,0,0,0,387.591,0,0,0,0,0,0,0,0,0,0,0,387.591,0,0,0,0,0,0,0,387.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.591,0,0,0,0,0,0,0,387.591,INITIAL,3/9/23,3/9/23,7100.2-1 (Rev. 3-2022)
03/01/24,2022,20230211,41601,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF","2021 INDUSTRIAL PARK RD., BLDG A",ALEXANDRIA,LA,71302,Natural Gas,,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661,,,,,,,,,,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INITIAL,2/21/23,2/21/23,7100.2-1 (Rev. 3-2022)
03/01/24,2022,20231190,42646,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",915 NORTH ELDRIDGE PARKWAY,HOUSTON,TX,77079,Natural Gas,"CONNECTICUT, MASSACHUSETTS, NEW JERSEY, NEW YORK, OCS-Atlantic, RHODE ISLAND",,348.83,301.69,45.43,425.27,0,0,0,9.57,348.83,301.69,45.43,434.84,0,0,0,0,0,0,0,348.83,348.83,0,0,0,0,0,0,0,0,0,0,348.83,348.83,716024,,,,,,,,,,,,,No,0,1121.22,0,0,0,0,0,0,0,1121.22,0,9.57,0,0,0,0,0,0,0,9.57,0,1130.79,0,0,0,0,0,0,0,1130.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130.79,0,0,0,0,0,0,0,1130.79,INITIAL,3/15/23,3/9/23,7100.2-1 (Rev. 3-2022)
