"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
8/1/2022,2013,20140808,13171,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Crude Oil,"ALABAMA, CALIFORNIA, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, UTAH, WYOMING","ALABAMA, CALIFORNIA, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, WYOMING",46.98,2091.02,2138,,84169841.24,,,,,127386503914.320,,,,236.95,5743.14,0,0,0,0,5980.09,0,46.98,0,0,0,0,46.98,236.95,5790.12,0,0,0,0,6027.07,40.1,57.22,97.32,0,0,0,0,738.37,738.37,0,115.37,115.37,0,498.62,498.62,206.33,0,206.33,379.11,0,379.11,364.36,0.71,365.07,438.45,5.85,444.3,505.04,0,505.04,0,0,0,3349.53,1933.39,1416.14,SUPPLEMENTAL,06/11/14,7/8/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2013,20140666,12664,395,AMOCO OIL CO,150 W. WARRENVILLE RD,NAPERVILLE,IL,60563,,Refined and/or Petroleum Product (non-HVL),"ILLINOIS, INDIANA, IOWA, MICHIGAN, MINNESOTA, MISSOURI",,,663.1,663.1,,,,,,,,,,10137460231.000,0,1151,0,0,0,0,1151,0,0,0,0,0,0,0,0,1151,0,0,0,0,1151,0,0,0,0,0,0,0,15,15,0,0,0,0,1,1,1,1,2,17,0,17,58,0,58,2,0,2,0,0,0,0,0,0,95,78,17,INITIAL,06/02/14,6/2/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2013,20140636,12634,401,HESS CORPORATION,1501 MCKINNEY STREET,HOUSTON,TX,77010,,CO2,,"NEW MEXICO, TEXAS",,,0,,,,,,311517852.000,,,,,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,16,0,16,11.5,0,11.5,0,0,0,0,0,0,31.5,31.5,0,INITIAL,05/19/14,5/19/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2013,20141046,13073,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","1515 Arapahoe Street, TOWER 1, SUITE 1600",Denver,CO,80202,,HVL,,TEXAS,,49.2,49.2,,,,,,,,,391484400.000,,0,49.2,0,0,0,0,49.2,0,0,0,0,0,0,0,0,49.2,0,0,0,0,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0.2,0,0.2,0,0,0,49.2,49.2,0,INITIAL,06/16/14,6/16/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2013,20140635,12633,473,ANADARKO PETROLEUM CORP,"1201 Lake Robbin Dr., (POB 1330, HOouston, 77251-1330)",THE WOODLANDS,TX,77380,,CO2,,WYOMING,,,0,,,,,,2313143006.000,,,,,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,155,0,0,0,0,0,0,155,155,0,INITIAL,05/19/14,5/19/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2013,20140921,12940,473,ANADARKO PETROLEUM CORP,"1201 Lake Robbin Dr., (POB 1330, HOouston, 77251-1330)",THE WOODLANDS,TX,77380,,Crude Oil,,"COLORADO, TEXAS, WYOMING",,21,21,,,,,,,730628069.000,,,,0,110,0,0,0,0,110,0,0,0,0,0,0,0,0,110,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,16,16,0,0,0,0,0,0,0,0,0,51,0,51,0,0,0,110,51,59,INITIAL,06/13/14,6/13/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2013,20140651,12649,473,ANADARKO PETROLEUM CORP,"1201 Lake Robbin Dr., (POB 1330, HOouston, 77251-1330)",THE WOODLANDS,TX,77380,,HVL,,"COLORADO, UTAH, WYOMING",,,0,,,,,,,,,128413773.000,,0,35.6,0,0,0,0,35.6,0,0,0,0,0,0,0,0,35.6,0,0,0,0,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,16.8,0,16.8,14.8,0,14.8,0,0,0,35.6,35.6,0,INITIAL,05/29/14,5/29/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2013,20140579,12570,515,DAKOTA GASIFICATION COMPANY,"GREAT PLAINS SYNFUELS PLANT, 1717 EAST INTERSTATE AVENUE",BISMARCK,ND,58503-0564,,CO2,NORTH DAKOTA,,,32.9,32.9,,,,,,8280029136.000,,,,,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.78,0,164.78,2,0,2,0.26,0,0.26,0,0,0,167.04,167.04,0,INITIAL,04/21/14,4/21/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2013,20140855,12868,879,CHEMOIL TERMINALS CORP.,"4 EMBARCADERO CTR., 34TH FLOOR",SAN FRANCISCO,CA,94111,,Refined and/or Petroleum Product (non-HVL),CALIFORNIA,CALIFORNIA,,12.11,12.11,,,,,,,,,,11168918.000,0,39.947,0,0,0,0,39.947,0,0,0,0,0,0,0,0,39.947,0,0,0,0,39.947,0,7.92,7.92,0,0,0,0,0,0,0,0,0,7.2,0,7.2,18.817,0,18.817,0,0,0,0.1,0,0.1,2.71,0,2.71,3.2,0,3.2,0,0,0,39.947,32.027,7.92,INITIAL,06/12/14,6/12/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2013,20141059,13319,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","ONE WILLIAMS CENTER, P.O. BOX 645",TULSA,OK,74172,,Crude Oil,OCS-Gulf of Mexico,,0,,0,0,31218468,0,0,0,,,,,,0,0,0,0,0,0,0,0,7.96,0,0,0,0,7.96,0,7.96,0,0,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUPPLEMENTAL,06/16/14,5/22/15,7000-1.1 (Rev. 06-2014)
