REPORT_NUMBER,NAME,OPERATOR_ID,IYEAR,MDY,MoYr,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,cleanLoc,STATE,ON_OFF_SHORE,SYS,MSYS,SIGNIFICANT,SERIOUS,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE,INTENTIONAL_RELEASE,TOTAL_RELEASE,UNITS,FATALITY_IND,FATAL,INJURY_IND,INJURE,EXPLODE_IND,IGNITE_IND,NUM_PUB_EVACUATED,TOTAL_COST_CURRENT,INSTALLATION_YEAR,SYSTEM_PART_INVOLVED,PIPE_DIAMETER,CAUSE,CAUSE_DETAILS,NARRATIVE,mileage,pri.id,pri.name
20110231,ATMOS PIPELINE - TEXAS,31978,2011,2011-06-10,2011-06-01,2011-06-10T10:28:00Z,31.54837,-97.08405,"Waco, TX",TX,ONSHORE,GT,Gas,NO,NO,NATURAL GAS,1059,1074,2133,mscf,NO,0,NO,0,NO,NO,0,109741.62063899753,1952,"ONSHORE PIPELINE, INCLUDING VALVE SITES",12.75,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION ACTIVITY,"COMPANY AND CONTRACT PERSONNEL ON SITE PERFORMING ILI PIGGING OPERATIONS.  DURING PIGGING OPERATIONS, PIPELINE FAILURE OCCURRED 759 FEET FROM STATION (RIVER JUNCTION) AND END OF PIPELINE L8(3RD) (STATION 0+00).  PIPELINE WAS PLACED OUT OF SERVICE FOR INVESTIGATION, AND THE DAMAGED PIPE SENT TO STORK LABS IN HOUSTON, TEXAS TO BE ANALYZED.  RESULTS OF THE EXAMINATION INDICATED THAT THE PIPE HAD BEEN LONGITUDINALLY GOUGED BY OUTSIDE FORCES CONSISTENT WITH A BACKHOE OR SIMILAR EQUIPMENT.  THERE ARE NO RECORDS OF THE PIPE BEING DAMAGED IN THE AREA.  PIPELINE REMAINS OUT OF SERVICE WHILE ONGOING REMEDIATION ACTIVITIES ARE BEING PERFORMED.",5698,4473,Atmos
20120041,ATMOS PIPELINE - TEXAS,31978,2012,2012-03-27,2012-03-01,2012-03-27T10:48:00Z,31.48491,-96.95729,"Riesel, TX",TX,ONSHORE,GT,Gas,YES,NO,NATURAL GAS,1020,1405,2425,mscf,NO,0,NO,0,NO,NO,0,130640.65982198734,1952,"ONSHORE PIPELINE, INCLUDING VALVE SITES",12.75,MATERIAL FAILURE OF PIPE OR WELD,"DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED","ON 3-27-2012, COMPANY AND CONTRACT PERSONNEL WERE ON SITE PERFORMING ILI PIGGING OPERATIONS.  DURING PIGGING OPERATIONS, THE PIPELINE FAILED 6,695 FEET DOWNSTREAM FROM RIESEL JUNCTION STATION.  NO INJURIES OCCURRED, AND NO CUSTOMERS WERE AFFECTED AS A RESULT OF THE INCIDENT. IT WAS DETERMINED THAT THE FAILURE WAS CAUSED BY THE IMPACT OF THE INLINE INSPECTION TOOL AT THE MISALIGNMENT (HIGH/LOW) ON THE GIRTH WELD ON THE UPSTREAM SIDE. THE LINE WAS SHUT DOWN ON 3-27-2012 AND WAS NEVER PLACED BACK IN SERVICE.  IT WAS CAPPED OFF AND ABANDONED ON 10-22-2012.",5628,4473,Atmos
20120098,ATMOS PIPELINE - TEXAS,31978,2012,2012-08-28,2012-08-01,2012-08-28T08:30:00Z,33.16505,-96.63059,"Mckinney, TX",TX,ONSHORE,GT,Gas,YES,NO,NATURAL GAS,1500,0,1500,mscf,NO,0,NO,0,NO,YES,0,790049.9471458774,1998,"ONSHORE PIPELINE, INCLUDING VALVE SITES",6,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY OPERATOR'S CONTRACTOR (SECOND PARTY),"CONTRACTOR WAS USING A CATERPILLAR 324E TRACKHOE TO EXCAVATE A TAIL DITCH  TO PULL PIPE THROUGH A BORE AT STATE HWY 5 AT SPUR 339 IN MCKINNEY, TEXAS.  DURING THE EXCAVATION, A 6 INCH HIGH PRESSURE STEEL COMPANY MAIN WAS DAMAGED.",5628,4473,Atmos
20150052,ATMOS PIPELINE - TEXAS,31978,2015,2015-03-19,2015-03-01,2015-03-19T15:47:00Z,33.12294,-97.02621,"Lake Dallas, TX",TX,ONSHORE,GT,Gas,NO,NO,NATURAL GAS,5793,1268,7061,mscf,NO,0,NO,0,NO,NO,8,99592.5776074359,1982,"ONSHORE PIPELINE, INCLUDING VALVE SITES",12.75,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,"THIRD PARTY EXCAVATOR HAD CALLED IN, AND ACCURATE LOCATES WERE PERFORMED.  THE THIRD PARTY EXCAVATOR DID NOT CONTACT THE OPERATOR PRIOR TO EXPOSING THE ACTIVE PIPELINE.  THE EXCAVATOR EXPOSED AN ABANDONED SECTION OF 16"" PIPE, THEY ASSUMED IT TO BE ACTIVE.  THE EXCAVATOR DID NOT CONTACT THE OPERATOR TO CONFIRM IF THE LINE WAS ACTIVE OR NOT.  DURING THE BORING PROCESS, THE ACTIVE 12"" LINE WAS STRUCK.  THE 12"" LINE WAS 8.5 FEET BELOW THE ABANDONED 16"" LINE.",5446.056,4473,Atmos
20150101,ATMOS PIPELINE - TEXAS,31978,2015,2015-07-02,2015-07-01,2015-07-02T21:45:00Z,30.628,-96.5435,"Bryan, TX",TX,ONSHORE,GT,Gas,YES,NO,NATURAL GAS,3700,0,3700,mscf,NO,0,NO,0,NO,NO,0,1370589.2512901966,1984,"ONSHORE PIPELINE, INCLUDING VALVE SITES",6.625,OTHER INCIDENT CAUSE,UNKNOWN,"MIC TECH RECEIVED A CALL FROM THE COMPANY GAS CONTROL NOTIFYING US OF PRESSURE PROBLEMS ON JULY 2, 2015.  AFTER FURTHER INVESTIGATION IT WAS DETERMINED THAT DURING NORMAL OPERATIONS THE PIPELINE L8-9 AS IT CROSSES THE BRAZOS RIVER ON HWY 21 HAD DEVELOPED A LEAK.  THE LINE WAS SHUT IN TO ELIMINATE THE LEAK AND ACTIONS TO CORRECT THE PROBLEM WERE STARTED IMMEDIATELY.  A NEW LINE WAS BORED UNDERNEATH THE RIVER AND WAS PLACED IN SERVICE ON JULY 17, 2015.  THE EXISTING LINE WAS ABANDONED AND LEFT IN PLACE.",5446.056,4473,Atmos
20150135,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),22476,2015,2015-10-16,2015-10-01,2015-10-16T11:30:00Z,38.19113928,-85.30107642,"Shelbyville, KY",KY,ONSHORE,GT,Gas,YES,NO,NATURAL GAS,16500,0,16500,mscf,NO,0,NO,0,NO,NO,15,246478.71309764803,1974,"ONSHORE PIPELINE, INCLUDING VALVE SITES",8,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,"FARMER DAMAGED 8"" LINE WILE CLEANING AND EXTENDING POND NEAR HIS PROPERTY. THE FARMER (PROPERTY OWNER) DID NOT CALL 811 TO HAVE FACILITIES LOCATED PRIOR TO EXCAVATION. MUELLER STOP FITTINGS WERE INSTALLED AND TEMPORARY BYPASS INSTALLED TO MAINTAIN GAS SERVICE. FIRST RESPONDERS AND ATMOS ENERGY EMERGENCY RESPONDERS WORKED CLOSELY TOGETHER TO PROTECT LIFE AND PROPERTY DURING THE ENTIRE REPAIR PROCESS. ATMOS ENERGY WAS ALSO ASSISTED BY 25-30 LARGE INDUSTRIAL CUSTOMERS TO HELP MAINTAIN GAS SERVICE TO 12,500 RESIDENTIAL AND SMALL COMMERCIAL CUSTOMERS.",195.6,4473,Atmos
20160012,ATMOS PIPELINE - TEXAS,31978,2016,2016-01-09,2016-01-01,2016-01-09T15:55:00Z,31.03483,-96.16068,"Leon County, TX",TX,ONSHORE,GT,Gas,YES,NO,NATURAL GAS,195573,329,195902,mscf,NO,0,NO,0,YES,YES,6,4102607.056543682,1967,"ONSHORE PIPELINE, INCLUDING VALVE SITES",30,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY OPERATOR'S CONTRACTOR (SECOND PARTY),"PIPELINE FAILED DURING A DUCTILE OVERLOAD EVENT.  THE RUPTURE WAS CAUSED BY MECHANICAL GOUGES ON THE PIPE FROM A SECOND PARTY CONTRACTOR'S TRACKHOE THAT GOT STUCK IN THE MUD NEAR THE PIPELINE, APPROXIMATELY ONE MONTH PRIOR TO THE INCIDENT.",5681.511,4473,Atmos
20170122,ATMOS PIPELINE - TEXAS,31978,2017,2017-11-15,2017-11-01,2017-11-15T08:51:00Z,33.41944,-95.18127,"Bogata, TX",TX,ONSHORE,GT,Gas,NO,NO,NATURAL GAS,4537,0,4537,mscf,NO,0,NO,0,NO,NO,0,97858.33992459398,1957,"ONSHORE PIPELINE, INCLUDING VALVE SITES",12,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY OPERATOR'S CONTRACTOR (SECOND PARTY),"ADDITIONAL NRC REPORT NO. 1197541    ON NOVEMBER 15, 2017, AN ATMOS ENERGY CONTRACTOR HIT THE LINE AT THE JOHNTOWN BLOCK VALVE/JOHNTOWN TAP YARD.  THE CONTRACTOR WAS HIRED BY ATMOS ENERGY TO DO THE BORES ON THE LINE O38-1 LINE REPLACEMENT.  THE CONTRACTOR DRILLED A 2.5 INCH HOLE IN THE LINE AT THE STATION LISTED.    AS PART OF ITS NORMAL OPERATIONS, ATMOS ENERGY HAS A PROGRAM IN PLACE TO MONITOR AND TAKE APPROPRIATE ACTION AS NEEDED WITH CONTRACTORS WHO DAMAGE COMPANY ASSETS DURING EXCAVATION.  THIS DAMAGE PREVENTION PROGRAM IS APPLICABLE TO THIS CONTRACTOR AND WAS FOLLOWED AND APPLIED WITH REGARD TO THIS INCIDENT.  THE PROGRAM INVOLVES, AMONG OTHER ACTIONS: (1) AUDITS OF CURRENT EXCAVATION PROJECTS OF 2ND PARTY CONTRACTORS TO REVIEW COMPLIANCE WITH PIPELINE LOCATING AND DAMAGE PREVENTION PROCEDURES; (2) MEETINGS WITH 2ND PARTY CONTRACTORS TO DISCUSS AT-FAULT DAMAGES AND DEVELOP ROOT-CAUSE ANALYSIS OF THE DAMAGES; (3) PROVISION OF COACHING TO CONTRACTORS OF DAMAGE PREVENTION MEASURES REGARDING THE IMPORTANCE OF PROPER LOCATING PROCEDURES AND SAFE EXCAVATION PRACTICES WITHIN THE TOLERANCE ZONE; AND (4) PUBLIC LIAISON MEETINGS AND MOCK LINE STRIKES CONDUCTED ANNUALLY FOR EMERGENCY RESPONDERS AND EXCAVATORS WITHIN OUR SERVICE AREA, EMPHASIZING PROPER USE OF THE 811 NOTIFICATION SYSTEM, SAFE EXCAVATION PRACTICES, AND RESPONSE ACTIONS TO TAKE IN THE EVENT OF A PIPELINE INCIDENT.",5678.129,4473,Atmos
20190002,ATMOS ENERGY CORPORATION - MID-TEX,31348,2018,2018-12-10,2018-12-01,2018-12-10T19:00:00Z,32.91334409,-97.58587848,"Reno, TX",TX,ONSHORE,GT,Gas,NO,NO,NATURAL GAS,25,475,500,mscf,NO,0,NO,0,NO,NO,0,102229.6818806526,1950,"ONSHORE PIPELINE, INCLUDING VALVE SITES",12,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,"ADDITIONAL NRC REPORT # 1232875    ON DECEMBER 10, 2018 AT 19:00, A THIRD PARTY CONTRACTOR HIT ATMOS ENERGY'S LINE CA, PUNCTURING THE LINE AND CAUSING A LEAK. THE LINE SEGMENT WAS ISOLATED AT 06:30 ON DECEMBER 11, 2018, AND A CONTROLLED GAS RELEASE WAS PERFORMED UNTIL LINE PRESSURE WAS ELIMINATED. AT THAT POINT, A TEN FOOT PIPE SEGMENT WAS REMOVED BY ATMOS ENERGY, AND APPROPRIATE REPAIRS WERE MADE. CNG RESOURCES WERE UTILIZED TO HOLD UP A SMALL RESIDENTIAL AREA AND SEVEN FARM TAP CUSTOMERS ON THE SEGMENT WERE OUT OF SERVICE DURING THE SHUTDOWN.  SERVICE WAS RESTORED AT 20:30 ON DECEMBER 11, 2018.  AFTER INVESTIGATION OF THE INCIDENT, IT WAS DETERMINED THAT CONTRACT LOCATOR DID NOT APPROPRIATELY MARK THE LINE.",305.989,4473,Atmos
20190061,ATMOS ENERGY CORPORATION - MID-TEX,31348,2019,2019-04-22,2019-04-01,2019-04-22T14:36:00Z,33.23279034,-97.67564194,"Decatur, TX",TX,ONSHORE,GT,Gas,YES,NO,NATURAL GAS,62.4,73.5,135.9,mscf,NO,0,NO,0,NO,NO,0,387461.80203655496,1991,"ONSHORE PIPELINE, INCLUDING VALVE SITES",4,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,"ADDITIONAL NRC REPORT NUMBER 1243764    ON APRIL 22, 2019 AT 14:36, A THIRD-PARTY CONTRACTOR HIT ATMOS ENERGY'S LINE W 12-1 WHILE DRILLING TO INSTALL A BILLBOARD POLE, PUNCTURING THE LINE AND CAUSING A LEAK.  THE LINE SEGMENT WAS ISOLATED AT 19:50 AND A CONTROLLED GAS RELEASE WAS PERFORMED UNTIL THE PRESSURE WAS ELIMINATED.  CNG RESOURCES WERE UTILIZED TO SERVE 5 CUSTOMERS DURING THE SHUTDOWN.  ON APRIL 23, 2019 AT 19:02, THE DAMAGED SECTION OF PIPE WAS REMOVED AND REPAIRS COMMENCED.  SERVICE WAS RESTORED AT 18:50 ON APRIL 24, 2019.  AFTER INVESTIGATION OF THE INCIDENT, IT WAS DETERMINED THAT THE CONTRACT LOCATOR DID NOT APPROPRIATELY MARK THE LINE.",309.718,4473,Atmos
