DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_ZIP,HQ_ADDRESS_STREET,HQ_ADDRESS_CITY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_STATE,HQ_ADDRESS_ZIP,COMMODITY,STOP,OPERATOR_TYPE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_COATED,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_COATED,MMILES_PLASTIC,MMILES_CI,MMILES_DI,MMILES_CU,MMILES_OTHER,MMILES_RCI,MMILES_TOTAL,NUM_SRVS_STEEL_UNP_BARE,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_PLASTIC,NUM_SRVS_CI,NUM_SRVS_DI,NUM_SRVS_CU,NUM_SRVS_OTHER,NUM_SRVS_RCI,NUM_SRVCS_TOTAL,MMILES_STEEL_UNK,MMILES_STEEL_LT2IN,MMILES_STEEL_2IN_TO_4IN,MMILES_STEEL_4IN_TO_8IN,MMILES_STEEL_8IN_TO_12IN,MMILES_STEEL_GT12IN,MMILES_STEEL_TOTAL,MMILES_DI_UNK,MMILES_DI_LT2IN,MMILES_DI_2IN_TO_4IN,MMILES_DI_4IN_TO_8IN,MMILES_DI_8IN_TO_12IN,MMILES_DI_GT12IN,MMILES_DI_TOTAL,MMILES_CU_UNK,MMILES_CU_LT2IN,MMILES_CU_2IN_TO_4IN,MMILES_CU_4IN_TO_8IN,MMILES_CU_8IN_TO_12IN,MMILES_CU_GT12IN,MMILES_CU_TOTAL,MMILES_CI_WR_UNK,MMILES_CI_WR_LT2IN,MMILES_CI_WR_2IN_TO_4IN,MMILES_CI_WR_4IN_TO_8IN,MMILES_CI_WR_8IN_TO_12IN,MMILES_CI_WR_GT12IN,MMILES_CI_WR_TOTAL,MMILES_PLASTIC_UNK,MMILES_PLASTIC_LT2IN,MMILES_PLASTIC_2IN_TO_4IN,MMILES_PLASTIC_4IN_TO_8IN,MMILES_PLASTIC_8IN_TO_12IN,MMILES_PLASTIC_GT12IN,MMILES_PLASTIC_TOTAL,MMILES_PE_UNK,MMILES_PE_LT2IN,MMILES_PE_2IN_TO_4IN,MMILES_PE_4IN_TO_8IN,MMILES_PE_8IN_TO_12IN,MMILES_PE_GT12IN,MMILES_PE_TOTAL,MMILES_ABS_UNK,MMILES_ABS_LT2IN,MMILES_ABS_2IN_TO_4IN,MMILES_ABS_4IN_TO_8IN,MMILES_ABS_8IN_TO_12IN,MMILES_ABS_GT12IN,MMILES_ABS_TOTAL,MMILES_OTH_PLSTC_UNK,MMILES_OTH_PLSTC_LT2IN,MMILES_OTH_PLSTC_2IN_TO_4IN,MMILES_OTH_PLSTC_4IN_TO_8IN,MMILES_OTH_PLSTC_8IN_TO_12IN,MMILES_OTH_PLSTC_GT12IN,MMILES_OTH_PLSTC_TOTAL,MMILES_OTHER_UNK,MMILES_OTHER_LT2IN,MMILES_OTHER_2IN_TO_4IN,MMILES_OTHER_4IN_TO_8IN,MMILES_OTHER_8IN_TO_12IN,MMILES_OTHER_GT12IN,MMILES_OTHER_TOTAL,MMILES_OTHER_MATERIAL_DETAIL,MMILES_RCI_UNK,MMILES_RCI_LT2IN,MMILES_RCI_2IN_TO_4IN,MMILES_RCI_4IN_TO_8IN,MMILES_RCI_8IN_TO_12IN,MMILES_RCI_GT12IN,MMILES_RCI_TOTAL,MMILES_UNK_TOTAL,MMILES_LT2IN_TOTAL,MMILES_2IN_TO_4IN_TOTAL,MMILES_4IN_TO_8IN_TOTAL,MMILES_8IN_TO_12IN_TOTAL,MMILES_GT12IN_TOTAL,MMILES_PART_B2_TOTAL,AVERAGE_LENGTH,NUM_SRVS_STEEL_UNK,NUM_SRVS_STEEL_LT1IN,NUM_SRVS_STEEL_1IN_TO_2IN,NUM_SRVS_STEEL_2IN_TO_4IN,NUM_SRVS_STEEL_4IN_TO_8IN,NUM_SRVS_STEEL_GT8IN,NUM_SRVS_STEEL_TOTAL,NUM_SRVS_DI_UNK,NUM_SRVS_DI_LT1IN,NUM_SRVS_DI_1IN_TO_2IN,NUM_SRVS_DI_2IN_TO_4IN,NUM_SRVS_DI_4IN_TO_8IN,NUM_SRVS_DI_GT8IN,NUM_SRVS_DI_TOTAL,NUM_SRVS_CU_UNK,NUM_SRVS_CU_LT1IN,NUM_SRVS_CU_1IN_TO_2IN,NUM_SRVS_CU_2IN_TO_4IN,NUM_SRVS_CU_4IN_TO_8IN,NUM_SRVS_CU_GT8IN,NUM_SRVS_CU_TOTAL,NUM_SRVS_CI_WR_UNK,NUM_SRVS_CI_WR_LT1IN,NUM_SRVS_CI_WR_1IN_TO_2IN,NUM_SRVS_CI_WR_2IN_TO_4IN,NUM_SRVS_CI_WR_4IN_TO_8IN,NUM_SRVS_CI_WR_GT8IN,NUM_SRVS_CI_WR_TOTAL,NUM_SRVS_PLASTIC_UNK,NUM_SRVS_PLASTIC_LT1IN,NUM_SRVS_PLASTIC_1IN_TO_2IN,NUM_SRVS_PLASTIC_2IN_TO_4IN,NUM_SRVS_PLASTIC_4IN_TO_8IN,NUM_SRVS_PLASTIC_GT8IN,NUM_SRVS_PLASTIC_TOTAL,NUM_SRVS_PE_UNK,NUM_SRVS_PE_LT1IN,NUM_SRVS_PE_1IN_TO_2IN,NUM_SRVS_PE_2IN_TO_4IN,NUM_SRVS_PE_4IN_TO_8IN,NUM_SRVS_PE_GT8IN,NUM_SRVS_PE_TOTAL,NUM_SRVS_ABS_UNK,NUM_SRVS_ABS_LT1IN,NUM_SRVS_ABS_1IN_TO_2IN,NUM_SRVS_ABS_2IN_TO_4IN,NUM_SRVS_ABS_4IN_TO_8IN,NUM_SRVS_ABS_GT8IN,NUM_SRVS_ABS_TOTAL,NUM_SRVS_OTH_PLSTC_UNK,NUM_SRVS_OTH_PLSTC_LT1IN,NUM_SRVS_OTH_PLSTC_1IN_TO_2IN,NUM_SRVS_OTH_PLSTC_2IN_TO_4IN,NUM_SRVS_OTH_PLSTC_4IN_TO_8IN,NUM_SRVS_OTH_PLSTC_GT8IN,NUM_SRVS_OTH_PLSTC_TOTAL,NUM_SRVS_OTHER_UNK,NUM_SRVS_OTHER_LT1IN,NUM_SRVS_OTHER_1IN_TO_2IN,NUM_SRVS_OTHER_2IN_TO_4IN,NUM_SRVS_OTHER_4IN_TO_8IN,NUM_SRVS_OTHER_GT8IN,NUM_SRVS_OTHER_TOTAL,NUM_SRVS_OTHER_MATERIAL_DETAIL,NUM_SRVS_RCI_UNK,NUM_SRVS_RCI_LT1IN,NUM_SRVS_RCI_1IN_TO_2IN,NUM_SRVS_RCI_2IN_TO_4IN,NUM_SRVS_RCI_4IN_TO_8IN,NUM_SRVS_RCI_GT8IN,NUM_SRVS_RCI_TOTAL,NUM_SRVS_UNK_TOTAL,NUM_SRVS_LT1IN_TOTAL,NUM_SRVS_1IN_TO_2IN_TOTAL,NUM_SRVS_2IN_TO_4IN_TOTAL,NUM_SRVS_4IN_TO_8IN_TOTAL,NUM_SRVS_GT8IN_TOTAL,NUM_SRVS_PART_B3_TOTAL,MMILES_BY_DCD_UNK,MMILES_BY_DCD_PRE1940,MMILES_BY_DCD_1940_TO_1949,MMILES_BY_DCD_1950_TO_1959,MMILES_BY_DCD_1960_TO_1969,MMILES_BY_DCD_1970_TO_1979,MMILES_BY_DCD_1980_TO_1989,MMILES_BY_DCD_1990_TO_1999,MMILES_BY_DCD_2000_TO_2009,MMILES_BY_DCD_2010_TO_2019,MMILES_BY_DCD_2020_TO_2029,MMILES_BY_DCD_TOTAL,NUM_SRVS_BY_DCD_UNK,NUM_SRVS_BY_DCD_PRE1940,NUM_SRVS_BY_DCD_1940_TO_1949,NUM_SRVS_BY_DCD_1950_TO_1959,NUM_SRVS_BY_DCD_1960_TO_1969,NUM_SRVS_BY_DCD_1970_TO_1979,NUM_SRVS_BY_DCD_1980_TO_1989,NUM_SRVS_BY_DCD_1990_TO_1999,NUM_SRVS_BY_DCD_2000_TO_2009,NUM_SRVS_BY_DCD_2010_TO_2019,NUM_SRVS_BY_DCD_2020_TO_2029,NUM_SRVS_BY_DCD_TOTAL,TOTAL_LEAKS_COR_MAINS,TOTAL_LEAKS_NF_MAINS,TOTAL_LEAKS_EX_MAINS,TOTAL_LEAKS_OF_DAM_MAINS,TOTAL_LEAKS_MAT_WELD_MAINS,TOTAL_LEAKS_EQ_MAINS,TOTAL_LEAKS_OP_MAINS,TOTAL_LEAKS_OT_MAINS,TOTAL_LEAKS_COR_SRVS,TOTAL_LEAKS_NF_SRVS,TOTAL_LEAKS_EX_SRVS,TOTAL_LEAKS_OF_DAM_SRVS,TOTAL_LEAKS_MAT_WELD_SRVS,TOTAL_LEAKS_EQ_SRVS,TOTAL_LEAKS_OP_SRVS,TOTAL_LEAKS_OT_SRVS,TOTAL_HAZLEAKS_COR_MAINS,TOTAL_HAZLEAKS_NF_MAINS,TOTAL_HAZLEAKS_EX_MAINS,TOTAL_HAZLEAKS_OF_DAM_MAINS,TOTAL_HAZLEAKS_MAT_WELD_MAINS,TOTAL_HAZLEAKS_EQ_MAINS,TOTAL_HAZLEAKS_OP_MAINS,TOTAL_HAZLEAKS_OT_MAINS,TOTAL_HAZLEAKS_COR_SRVS,TOTAL_HAZLEAKS_NF_SRVS,TOTAL_HAZLEAKS_EX_SRVS,TOTAL_HAZLEAKS_OF_DAM_SRVS,TOTAL_HAZLEAKS_MAT_WELD_SRVS,TOTAL_HAZLEAKS_EQ_SRVS,TOTAL_HAZLEAKS_OP_SRVS,TOTAL_HAZLEAKS_OT_SRVS,KNOWN_LEAKS,MECHANICAL_JOINT_LEAKS,FED_LAND_LEAKS_REPAIRED,PERCENT_UNACC_GAS,EXCAV_DAMAGES,EXCAV_ONECALL,EXCAV_LOCATING,EXCAV_EXCAV,EXCAV_OTHER,EXCAV_TICKETS,EFV_INSTALLED_CY,EFV_IN_SYSTEM,SHUTOFF_VALVE_INSTALLED_CY,SHUTOFF_VALVE_IN_SYSTEM,ADDITIONAL_INFORMATION,PREPARERS_NAME,PREPARERS_TITLE,PREPARERS_PHONE,PREPARERS_FAX,PREPARERS_EMAIL,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
2/1/2024,2021,20221385,46800,18,"ABBYVILLE, CITY OF",PO BOX 100,ABBYVILLE,Reno,KS,67510,P O BOX 100,ABBYVILLE,,KS,67510,Natural Gas,KS,Municipal Owned,0,0,0,3,0,0,0,0,0,0,3,0,0,0,51,1,0,0,0,0,0,52,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,0,3,35,0,0,51,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,52,0,0,0,52,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,51,0,0,0,0,1,0,0,52,,,2,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,46,0,0,0,0,,Mindy Iverson,agent,(620)286-5643,,cityofabbyville@hotmail.com,INITIAL,4/5/2022,4/5/2022,7100.1-1 (Rev. 05-2021)
2/1/2024,2021,20221356,46682,27,ABITA SPRINGS NAT GAS & WATER,222 Highway 19 - P. O. Box 338,SLAUGHTER,,LA,70777-3521,"22161 LEVEL STREET, PO BOX 461",ABITA SPRINGS,,LA,70420,Natural Gas,LA,Municipal Owned,0,0,0,26,2,0,0,0,0,0,28,0,0,0,511,454,0,0,0,0,0,965,0,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,28,0,0,0,28,30,0,511,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,2,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,963,2,0,0,0,965,0,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,852,66,47,965,,,,,,,,,1,3,,,1,,,,,,,,,,,,,,,,,,,,0,0,0,10.7,0,0,0,0,0,1423,19,106,0,25,3/28/22 - Abita Brewing Company had a meter #3 that was not registering for the months of October and November 2020. Repairs to this meter #3 have been made and started registering in December 2020.,Kaylan A. Ewing,Consultant,(225)286-5650,,kewing.pip@gmail.com,INITIAL,3/28/2022,3/28/2022,7100.1-1 (Rev. 05-2021)
2/1/2024,2021,20221105,46232,45,"ADAIRSVILLE, CITY OF",2369 Hall Station Rd NW,Adairsville,Bartow,GA,30103,116 PUBLIC SQUARE,ADAIRSVILLE,,GA,30103,Natural Gas,GA,Municipal Owned,0,0,0,30.06,84.58,0,0,0,0,0,114.64,0,0,0,1,1808,0,0,0,0,0,1809,0,10.16,9.92,9.98,0,0,30.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.12,18.77,2.69,0,0,84.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,73.28,28.69,12.67,0,0,114.64,100,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,34,10,1,0,1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1764,34,10,1,0,1809,0,0,0,0,3.44,6,9,8.98,31,54.95,1.27,114.64,4,0,0,0,47,72,356,283,671,245,130,1808,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,2.1,1,0,0,1,0,1653,65,1224,1,1,"This report prepared by :Maurice Chaney, Municipal Gas Authority This report was compiled from information supplied by: Steve Smith, Gas System Manager City of Adairsville",Maurice Chaney,Analyst,(770) 851-3094,,mchaney@gasauthority.com,INITIAL,3/14/2022,3/14/2022,7100.1-1 (Rev. 05-2021)
2/1/2024,2021,20220572,46699,49,TOWN OF ADAMSVILLE GAS DEPT,203 Sunrise Drive 231 East Main Street,Adamsville,,TN,38310,231 EAST MAIN STREET,ADAMSVILLE,,TN,38310,Natural Gas,TN,Municipal Owned,,,,92.359,78.946,0,0,0,0,0,171.305,,,,716,1344,0,0,0,0,0,2060,0,66.359,15,11,0,0,92.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.646,0.3,5,0,0,78.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,140.005,15.3,16,0,0,171.305,90,0,701,8,7,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,0,0,0,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2045,8,7,0,0,2060,126,0,0,0,0,0,0,0,0,45.141,0.189,171.33,1710,0,0,0,0,0,0,0,0,327,16,2053,1,0,0,0,2,1,0,0,0,0,3,1,0,17,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,7,4,0,2,2,0,976,15,664,1,5,"We are continuing to replace the radio read meter and going back to manual read. At this time, we have been looking for an employee to take this position over. With Covid we are simple not getting the applications to do so. We have been looking for someone for this position for 8 months with no luck. We will continue to look for a manual meter reader as we speak. 3/29/2022 (one excavation turned to other as required by Tennessee Public Utility Commission)",Scott Klinck,Director,(731) 632-4214,,sklinck@cityofadamsville.com,SUPPLEMENTAL,3/2/2022,3/29/2022,7100.1-1 (Rev. 05-2021)
2/1/2024,2021,20220100,44538,54,"ADEL GAS DEPT, CITY OF",P.O. Box 1530,Adel,Cook,GA,31620,P.O. BOX 1530,ADEL,,GA,31620,Natural Gas,GA,Municipal Owned,,,,29.28,29.11,0,0,0,0,0,58.39,,,,316,467,0,0,0,0,0,783,0,19.78,6,3.5,0,0,29.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11.79,10.32,0,0,29.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26.78,17.79,13.82,0,0,58.39,100,0,313,3,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,780,3,0,0,0,783,0,0,0,0,0,15,4,4,0,6.5,28.81,58.31,0,0,0,0,0,108,181,112,183,193,6,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,2,99,2,0,,Billy Donaldson,agent,(229) 560-5818,(912)384-6119,bdonaldson01@windstream.net,INITIAL,1/25/2022,1/25/2022,7100.1-1 (Rev. 05-2021)
2/1/2024,2021,20221254,46395,180,SPIRE ALABAMA INC.,2101 6TH AVENUE NORTH,BIRMINGHAM,Jefferson,AL,35203,605 RICHARD ARRINGTON JR BLVD N,BIRMINGHAM,,AL,35203,Natural Gas,AL,Investor Owned,289.32,338.55,186.02,4505.11,5663.4,351.5,0.1,0,47.6,0,11381.6,34470,2136,70177,118070,290047,6,0,1008,0,0,515914,3.1,2765.3,1500,854.2,184,12.4,5319,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.2,60,149,109.7,15.8,16.8,351.5,0,0,0,0,0,0,0,7,3536.6,1602.8,514.1,2.9,0,5663.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,15.6,1.8,0,0,0,47.6,,0,0,0,0,0,0,0,40.5,6377.5,3253.6,1478,202.8,29.2,11381.6,131,141005,80898,1024,1494,348,84,224853,0,0,0,0,0,0,0,0,1008,0,0,0,0,1008,0,0,2,4,0,0,6,0,0,0,0,0,0,0,0,263421,25041,1510,75,0,290047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,141005,345327,26067,3008,423,84,515914,472.3,173.2,243.26,1610.73,1540.76,1246.04,1286.28,1835.85,1477.85,1238.91,256.42,11381.6,131695,0,0,34992,52575,51245,49589,74203,51335,61730,8550,515914,117,26,107,3,106,129,1,9,327,111,1340,161,368,606,17,24,31,17,106,2,30,32,0,1,192,73,1315,150,165,271,7,9,807,194,0,1.3,1447,312,476,656,3,253723,3134,169179,80,153,,Kacie Ross,Compliance Engineer,(205) 767-8138,,kacie.ross@spireenergy.com,INITIAL,3/15/2022,3/15/2022,7100.1-1 (Rev. 05-2021)
2/1/2024,2021,20220607,45603,207,ALASKA PIPELINE CO,401 E. INTERNATIONAL AIRPORT RD,ANCHORAGE,,AK,99518,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,,AK,99519,Natural Gas,AK,Privately Owned,0,0,0,53.64,0,0,0,0,0,0,53.64,0,0,0,0,0,0,0,0,0,0,0,0,0.04,2.56,45.3,5.74,0,53.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.04,2.56,45.3,5.74,0,53.64,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.77,1.84,2.99,2.06,0.34,0.64,0,53.64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,9,0,0,0,0,,Rusty Allen,Compliance Engineer,(907)334-7765,,rusty.allen@enstarnaturalgas.com,INITIAL,3/3/2022,3/3/2022,7100.1-1 (Rev. 05-2021)
2/1/2024,2021,20220055,44410,225,ALBANY MUNICIPAL GAS CO,106 E Clay Street,Albany,,MO,64402,106 EAST CLAY STREET,ALBANY,,MO,64402,Natural Gas,MO,Municipal Owned,0,0,0,20,7,0,0,0,0,0,27,0,0,0,615,299,0,0,0,0,0,914,0,14,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,3.25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17.75,6.25,3,0,0,27,60,0,606,9,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,7,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,898,16,0,0,0,914,0,0,0,0,17,3,1,0,1.5,4.5,0,27,0,0,0,0,595,127,30,55,35,65,6,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,658,4,56,1,5,,Steven Adams,operator,(660) 726-3935,(660) 726-5823,gas@albanymo.net,INITIAL,1/18/2022,1/18/2022,7100.1-1 (Rev. 05-2021)
2/1/2024,2021,20221187,51422,234,ALBANY WATER GAS & LIGHT COMMISSION,916 North Front Street,Albany,,GA,31703,916 NORTH FRONT ST,ALBANY,,GA,31703,Natural Gas,GA,Municipal Owned,0,0,0,398.042,21.873,0,0,0,0,0,419.915,0,0,0,16631,154,0,0,0,0,0,16785,0,256.162,89.88,47,5,0,398.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.683,6.82,8.37,0,0,21.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,262.845,96.7,55.37,5,0,419.915,100,0,16505,106,18,2,0,16631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,7,1,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16651,113,19,2,0,16785,289.954,0,0,0,0,54.38,27,21,5,20.211,2.37,419.915,16629,0,0,0,0,0,0,0,0,102,54,16785,2,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9,8,0,2,6,0,5854,29,139,0,4,All information submitted was provided by Albany Utility Board. (3-15-22 CW),Chris Welborn,Agent,(678)739-6731,,cwelborn@gasauthority.com,SUPPLEMENTAL,3/15/2022,3/12/2023,7100.1-1 (Rev. 05-2021)
2/1/2024,2021,20220958,46078,252,"ALEDO GAS DEPT, CITY OF",9 Executive Woods Ct,Belleville,,IL,62226,120 N COLLEGE AVE BOX 267,ALEDO,,IL,61231,Natural Gas,IL,Municipal Owned,0,0,0,30.24,3.505,0,0,0,0,0,33.745,0,0,0,1430,280,0,0,0,0,0,1710,0,19.804,10.436,0,0,0,30.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.935,0.57,0,0,0,3.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22.739,11.006,0,0,0,33.745,63.5,0,1387,43,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,5,1,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1661,48,1,0,0,1710,0,0,0,22.783,3,1,2,2,1,1.392,0.57,33.745,0,0,0,1185,216,24,80,39,69,90,7,1710,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.86,0,0,0,0,0,812,2,143,2,332,,Taylor Browne,agent,(618) 277-1520,(618) 277-1586,taylor@usdi.us,INITIAL,3/14/2022,3/14/2022,7100.1-1 (Rev. 05-2021)
