DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_ZIP,HQ_ADDRESS_STREET,HQ_ADDRESS_CITY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_STATE,HQ_ADDRESS_ZIP,COMMODITY,STOP,OPERATOR_TYPE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_COATED,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_COATED,MMILES_PLASTIC,MMILES_CI,MMILES_DI,MMILES_CU,MMILES_OTHER,MMILES_RCI,MMILES_TOTAL,NUM_SRVS_STEEL_UNP_BARE,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_PLASTIC,NUM_SRVS_CI,NUM_SRVS_DI,NUM_SRVS_CU,NUM_SRVS_OTHER,NUM_SRVS_RCI,NUM_SRVCS_TOTAL,MMILES_STEEL_UNK,MMILES_STEEL_LT2IN,MMILES_STEEL_2IN_TO_4IN,MMILES_STEEL_4IN_TO_8IN,MMILES_STEEL_8IN_TO_12IN,MMILES_STEEL_GT12IN,MMILES_STEEL_TOTAL,MMILES_DI_UNK,MMILES_DI_LT2IN,MMILES_DI_2IN_TO_4IN,MMILES_DI_4IN_TO_8IN,MMILES_DI_8IN_TO_12IN,MMILES_DI_GT12IN,MMILES_DI_TOTAL,MMILES_CU_UNK,MMILES_CU_LT2IN,MMILES_CU_2IN_TO_4IN,MMILES_CU_4IN_TO_8IN,MMILES_CU_8IN_TO_12IN,MMILES_CU_GT12IN,MMILES_CU_TOTAL,MMILES_CI_WR_UNK,MMILES_CI_WR_LT2IN,MMILES_CI_WR_2IN_TO_4IN,MMILES_CI_WR_4IN_TO_8IN,MMILES_CI_WR_8IN_TO_12IN,MMILES_CI_WR_GT12IN,MMILES_CI_WR_TOTAL,MMILES_PLASTIC_UNK,MMILES_PLASTIC_LT2IN,MMILES_PLASTIC_2IN_TO_4IN,MMILES_PLASTIC_4IN_TO_8IN,MMILES_PLASTIC_8IN_TO_12IN,MMILES_PLASTIC_GT12IN,MMILES_PLASTIC_TOTAL,MMILES_PE_UNK,MMILES_PE_LT2IN,MMILES_PE_2IN_TO_4IN,MMILES_PE_4IN_TO_8IN,MMILES_PE_8IN_TO_12IN,MMILES_PE_GT12IN,MMILES_PE_TOTAL,MMILES_ABS_UNK,MMILES_ABS_LT2IN,MMILES_ABS_2IN_TO_4IN,MMILES_ABS_4IN_TO_8IN,MMILES_ABS_8IN_TO_12IN,MMILES_ABS_GT12IN,MMILES_ABS_TOTAL,MMILES_OTH_PLSTC_UNK,MMILES_OTH_PLSTC_LT2IN,MMILES_OTH_PLSTC_2IN_TO_4IN,MMILES_OTH_PLSTC_4IN_TO_8IN,MMILES_OTH_PLSTC_8IN_TO_12IN,MMILES_OTH_PLSTC_GT12IN,MMILES_OTH_PLSTC_TOTAL,MMILES_OTHER_UNK,MMILES_OTHER_LT2IN,MMILES_OTHER_2IN_TO_4IN,MMILES_OTHER_4IN_TO_8IN,MMILES_OTHER_8IN_TO_12IN,MMILES_OTHER_GT12IN,MMILES_OTHER_TOTAL,MMILES_OTHER_MATERIAL_DETAIL,MMILES_RCI_UNK,MMILES_RCI_LT2IN,MMILES_RCI_2IN_TO_4IN,MMILES_RCI_4IN_TO_8IN,MMILES_RCI_8IN_TO_12IN,MMILES_RCI_GT12IN,MMILES_RCI_TOTAL,MMILES_UNK_TOTAL,MMILES_LT2IN_TOTAL,MMILES_2IN_TO_4IN_TOTAL,MMILES_4IN_TO_8IN_TOTAL,MMILES_8IN_TO_12IN_TOTAL,MMILES_GT12IN_TOTAL,MMILES_PART_B2_TOTAL,AVERAGE_LENGTH,NUM_SRVS_STEEL_UNK,NUM_SRVS_STEEL_LT1IN,NUM_SRVS_STEEL_1IN_TO_2IN,NUM_SRVS_STEEL_2IN_TO_4IN,NUM_SRVS_STEEL_4IN_TO_8IN,NUM_SRVS_STEEL_GT8IN,NUM_SRVS_STEEL_TOTAL,NUM_SRVS_DI_UNK,NUM_SRVS_DI_LT1IN,NUM_SRVS_DI_1IN_TO_2IN,NUM_SRVS_DI_2IN_TO_4IN,NUM_SRVS_DI_4IN_TO_8IN,NUM_SRVS_DI_GT8IN,NUM_SRVS_DI_TOTAL,NUM_SRVS_CU_UNK,NUM_SRVS_CU_LT1IN,NUM_SRVS_CU_1IN_TO_2IN,NUM_SRVS_CU_2IN_TO_4IN,NUM_SRVS_CU_4IN_TO_8IN,NUM_SRVS_CU_GT8IN,NUM_SRVS_CU_TOTAL,NUM_SRVS_CI_WR_UNK,NUM_SRVS_CI_WR_LT1IN,NUM_SRVS_CI_WR_1IN_TO_2IN,NUM_SRVS_CI_WR_2IN_TO_4IN,NUM_SRVS_CI_WR_4IN_TO_8IN,NUM_SRVS_CI_WR_GT8IN,NUM_SRVS_CI_WR_TOTAL,NUM_SRVS_PLASTIC_UNK,NUM_SRVS_PLASTIC_LT1IN,NUM_SRVS_PLASTIC_1IN_TO_2IN,NUM_SRVS_PLASTIC_2IN_TO_4IN,NUM_SRVS_PLASTIC_4IN_TO_8IN,NUM_SRVS_PLASTIC_GT8IN,NUM_SRVS_PLASTIC_TOTAL,NUM_SRVS_PE_UNK,NUM_SRVS_PE_LT1IN,NUM_SRVS_PE_1IN_TO_2IN,NUM_SRVS_PE_2IN_TO_4IN,NUM_SRVS_PE_4IN_TO_8IN,NUM_SRVS_PE_GT8IN,NUM_SRVS_PE_TOTAL,NUM_SRVS_ABS_UNK,NUM_SRVS_ABS_LT1IN,NUM_SRVS_ABS_1IN_TO_2IN,NUM_SRVS_ABS_2IN_TO_4IN,NUM_SRVS_ABS_4IN_TO_8IN,NUM_SRVS_ABS_GT8IN,NUM_SRVS_ABS_TOTAL,NUM_SRVS_OTH_PLSTC_UNK,NUM_SRVS_OTH_PLSTC_LT1IN,NUM_SRVS_OTH_PLSTC_1IN_TO_2IN,NUM_SRVS_OTH_PLSTC_2IN_TO_4IN,NUM_SRVS_OTH_PLSTC_4IN_TO_8IN,NUM_SRVS_OTH_PLSTC_GT8IN,NUM_SRVS_OTH_PLSTC_TOTAL,NUM_SRVS_OTHER_UNK,NUM_SRVS_OTHER_LT1IN,NUM_SRVS_OTHER_1IN_TO_2IN,NUM_SRVS_OTHER_2IN_TO_4IN,NUM_SRVS_OTHER_4IN_TO_8IN,NUM_SRVS_OTHER_GT8IN,NUM_SRVS_OTHER_TOTAL,NUM_SRVS_OTHER_MATERIAL_DETAIL,NUM_SRVS_RCI_UNK,NUM_SRVS_RCI_LT1IN,NUM_SRVS_RCI_1IN_TO_2IN,NUM_SRVS_RCI_2IN_TO_4IN,NUM_SRVS_RCI_4IN_TO_8IN,NUM_SRVS_RCI_GT8IN,NUM_SRVS_RCI_TOTAL,NUM_SRVS_UNK_TOTAL,NUM_SRVS_LT1IN_TOTAL,NUM_SRVS_1IN_TO_2IN_TOTAL,NUM_SRVS_2IN_TO_4IN_TOTAL,NUM_SRVS_4IN_TO_8IN_TOTAL,NUM_SRVS_GT8IN_TOTAL,NUM_SRVS_PART_B3_TOTAL,MMILES_BY_DCD_UNK,MMILES_BY_DCD_PRE1940,MMILES_BY_DCD_1940_TO_1949,MMILES_BY_DCD_1950_TO_1959,MMILES_BY_DCD_1960_TO_1969,MMILES_BY_DCD_1970_TO_1979,MMILES_BY_DCD_1980_TO_1989,MMILES_BY_DCD_1990_TO_1999,MMILES_BY_DCD_2000_TO_2009,MMILES_BY_DCD_2010_TO_2019,MMILES_BY_DCD_2020_TO_2029,MMILES_BY_DCD_TOTAL,NUM_SRVS_BY_DCD_UNK,NUM_SRVS_BY_DCD_PRE1940,NUM_SRVS_BY_DCD_1940_TO_1949,NUM_SRVS_BY_DCD_1950_TO_1959,NUM_SRVS_BY_DCD_1960_TO_1969,NUM_SRVS_BY_DCD_1970_TO_1979,NUM_SRVS_BY_DCD_1980_TO_1989,NUM_SRVS_BY_DCD_1990_TO_1999,NUM_SRVS_BY_DCD_2000_TO_2009,NUM_SRVS_BY_DCD_2010_TO_2019,NUM_SRVS_BY_DCD_2020_TO_2029,NUM_SRVS_BY_DCD_TOTAL,TOTAL_LEAKS_COR_MAINS,TOTAL_LEAKS_NF_MAINS,TOTAL_LEAKS_EX_MAINS,TOTAL_LEAKS_OF_DAM_MAINS,TOTAL_LEAKS_MAT_WELD_MAINS,TOTAL_LEAKS_EQ_MAINS,TOTAL_LEAKS_OP_MAINS,TOTAL_LEAKS_OT_MAINS,TOTAL_LEAKS_COR_SRVS,TOTAL_LEAKS_NF_SRVS,TOTAL_LEAKS_EX_SRVS,TOTAL_LEAKS_OF_DAM_SRVS,TOTAL_LEAKS_MAT_WELD_SRVS,TOTAL_LEAKS_EQ_SRVS,TOTAL_LEAKS_OP_SRVS,TOTAL_LEAKS_OT_SRVS,TOTAL_HAZLEAKS_COR_MAINS,TOTAL_HAZLEAKS_NF_MAINS,TOTAL_HAZLEAKS_EX_MAINS,TOTAL_HAZLEAKS_OF_DAM_MAINS,TOTAL_HAZLEAKS_MAT_WELD_MAINS,TOTAL_HAZLEAKS_EQ_MAINS,TOTAL_HAZLEAKS_OP_MAINS,TOTAL_HAZLEAKS_OT_MAINS,TOTAL_HAZLEAKS_COR_SRVS,TOTAL_HAZLEAKS_NF_SRVS,TOTAL_HAZLEAKS_EX_SRVS,TOTAL_HAZLEAKS_OF_DAM_SRVS,TOTAL_HAZLEAKS_MAT_WELD_SRVS,TOTAL_HAZLEAKS_EQ_SRVS,TOTAL_HAZLEAKS_OP_SRVS,TOTAL_HAZLEAKS_OT_SRVS,KNOWN_LEAKS,MECHANICAL_JOINT_LEAKS,FED_LAND_LEAKS_REPAIRED,PERCENT_UNACC_GAS,EXCAV_DAMAGES,EXCAV_ONECALL,EXCAV_LOCATING,EXCAV_EXCAV,EXCAV_OTHER,EXCAV_TICKETS,ADDITIONAL_INFORMATION,PREPARERS_NAME,PREPARERS_TITLE,PREPARERS_PHONE,PREPARERS_FAX,PREPARERS_EMAIL,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
6/3/2024,2023,20240520,57440,18,"ABBYVILLE, CITY OF",PO BOX 100,ABBYVILLE,Reno,KS,67510,P O BOX 100,ABBYVILLE,,KS,67510,Natural Gas,KS,Municipal Owned,0,0,0,3,0,0,0,0,0,0,3,0,0,0,55,1,0,0,0,0,0,56,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,0,3,35,0,0,55,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,56,0,0,0,56,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,55,0,0,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,,Mindy Iverson,agent,(620) 286-5643,(000) 000-0000,cityofabbyville@hotmail.com,INITIAL,3/1/2024,3/1/2024,7100.1-1 (Rev. 06-2023)
6/3/2024,2023,20240648,57658,27,ABITA SPRINGS NAT GAS & WATER,222 Highway 19,SLAUGHTER,EAST FELICIANA,LA,70777-3521,22161 LEVEL STREET P. O. Box 461,ABITA SPRINGS,,LA,70420,Natural Gas,LA,Municipal Owned,0,0,0,25.91,2.3,0,0,0,0,0,28.21,0,0,0,512,500,0,0,0,0,0,1012,0,0,25.91,0,0,0,25.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,28.21,0,0,0,28.21,30,0,512,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,3,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1009,3,0,0,0,1012,0,0,0,0,0,0,0,0,28,0,0.21,28.21,0,0,0,0,0,0,0,0,852,66,94,1012,1,1,,,1,,,,3,,1,5,,4,,,1,,,,1,,,,,,,5,,4,,,0,1,0,0,1,1,0,0,0,852,,Kaylan Ewing,Consultant,(225) 286-5650,(000) 000-0000,kewing.pip@gmail.com,INITIAL,3/6/2024,3/6/2024,7100.1-1 (Rev. 06-2023)
6/3/2024,2023,20240459,57254,45,"ADAIRSVILLE, CITY OF",2369 Hall Station Rd NW,Adairsville,Bartow,GA,30103,116 PUBLIC SQUARE,ADAIRSVILLE,,GA,30103,Natural Gas,GA,Municipal Owned,0,0,0,30.06,88.4,0,0,0,0,0,118.46,0,0,0,1,1944,0,0,0,0,0,1945,0,10.16,9.92,9.98,0,0,30.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.94,18.77,4.69,0,0,88.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,75.1,28.69,14.67,0,0,118.46,100,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1896,35,12,1,0,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1897,35,12,1,0,1945,0,0,0,0,3.44,6,9,8.98,31,54.95,5.09,118.46,4,0,0,0,47,71,356,281,669,245,272,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,1739,"This report was prepared by Maurice Chaney, Municipal Gas Authority of Georgia, 104 Town Park Dr. Kennesaw 30144. This report was compiled form information supplied by Steve Smith, Gas System Manager, City of Adairsville.",MAURICE CHANEY,agent,(770) 851-3094,(678) 819-0957,mchaney@gasauthority.com,INITIAL,2/28/2024,2/28/2024,7100.1-1 (Rev. 06-2023)
6/3/2024,2023,20240286,56775,49,TOWN OF ADAMSVILLE GAS DEPT,203 Sunrise Dr.,Adamsville,Tennessee,TN,38310,231 EAST MAIN STREET P O BOX 301,ADAMSVILLE,,TN,38310,Natural Gas,TN,Municipal Owned,,,,92.359,78.859,0,0,0,0,0,171.218,,,,716,1361,0,0,0,0,0,2077,0,66.359,15,11,0,0,92.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.559,0.3,5,0,0,78.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,139.918,15.3,16,0,0,171.218,90,0,700,9,7,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361,0,0,0,0,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2061,9,7,0,0,2077,126,0,0,0,0,0,0,0,0,45.141,0.077,171.218,1710,0,0,0,0,0,0,0,0,327,40,2077,1,0,2,0,0,0,0,0,0,1,7,0,0,11,0,0,1,0,2,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,-2.17,9,7,1,1,0,1990,Equipment Failures are all older service regulators that had started leaking. When they get to that point we just replace the regulator in its entirety.,Scott Klinck,Public Works Director,(731) 632-4214,(000) 000-0000,SKlinck@CityofAdamsville.com,INITIAL,2/20/2024,2/20/2024,7100.1-1 (Rev. 06-2023)
6/3/2024,2023,20240070,55419,54,"ADEL GAS DEPT, CITY OF",P.O. Box 1530,Adel,Cook,GA,31620,P.O. BOX 1530,ADEL,,GA,31620,Natural Gas,GA,Municipal Owned,,,,29.28,29.11,0,0,0,0,0,58.39,,,,279,468,0,0,0,0,0,747,0,19.78,6,3.5,0,0,29.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11.79,10.32,0,0,29.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26.78,17.79,13.82,0,0,58.39,100,0,276,3,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,744,3,0,0,0,747,0,0,0,0,0,15,4,4,0,6.5,28.81,58.31,0,0,0,0,0,108,181,112,146,189,11,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,547,,Peter Schultz,agent,(229) 834-6246,(000) 000-0000,peterschultzharpassociates@yahoo.com,INITIAL,1/23/2024,1/23/2024,7100.1-1 (Rev. 06-2023)
6/3/2024,2023,20241292,61165,180,SPIRE ALABAMA INC.,605 Richard Arrington Jr Blvd N,BIRMINGHAM,,AL,35203,605 RICHARD ARRINGTON JR BLVD N,BIRMINGHAM,,AL,35203,Natural Gas,AL,Investor Owned,289.32,338.5,164.84,4503.94,5886.7,289.8,0.1,0,13.4,0,11486.6,31948,1980,65042,109432,287633,4,0,998,0,0,497037,11.4,2750.3,1485.8,853.9,183.2,12,5296.6,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,1.3,47.3,117.4,95.2,15,13.6,289.8,0,0,0,0,0,0,0,9.6,3651.8,1669.1,550.1,6.1,0,5886.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,3.6,0.5,0,0,0,13.4,,0,0,0,0,0,0,0,31.6,6453,3272.8,1499.2,204.4,25.6,11486.6,134,126646,79252,586,1486,348,84,208402,0,0,0,0,0,0,0,0,994,4,0,0,0,998,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,261303,24752,1505,73,0,287633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,126646,341549,25342,2995,421,84,497037,461.8,173.2,218.5,1586.6,1534.8,1246.4,1300.4,1844.5,1489.9,1255.2,375.3,11486.6,112677,0,0,34132,52029,50301,48781,67363,50697,61064,19993,497037,160,24,240,12,209,19,9,0,437,142,1455,295,534,417,40,28,42,16,237,10,59,4,6,0,322,115,1416,281,414,388,32,26,98,257,0,1.14,1705,561,754,389,1,213973,,Erin Milkert,"MGR, Distribution Integrity",(314) 304-2217,(000) 000-0000,erin.milkert@spireenergy.com,INITIAL,3/15/2024,3/15/2024,7100.1-1 (Rev. 06-2023)
6/3/2024,2023,20240876,58653,207,"ALASKA PIPELINE COMPANY, LLC",401 E. INTERNATIONAL AIRPORT RD,ANCHORAGE,,AK,99518,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,,AK,99519,Natural Gas,AK,Privately Owned,0,0,0,53.65,0,0,0,0,0,0,53.65,0,0,0,0,0,0,0,0,0,0,0,0,0.04,2.56,45.31,5.74,0,53.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.04,2.56,45.31,5.74,0,53.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.78,1.84,2.99,2.06,0.34,0.64,0,53.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,,Rusty Allen,Engineering Supervisor,(907) 334-7765,(000) 000-0000,rusty.allen@enstarnaturalgas.com,INITIAL,3/12/2024,3/12/2024,7100.1-1 (Rev. 06-2023)
6/3/2024,2023,20240116,55844,225,ALBANY MUNICIPAL GAS CO,106 E Clay Street,Albany,,MO,64402,106 EAST CLAY STREET,ALBANY,,MO,64402,Natural Gas,MO,Municipal Owned,0,0,0,20,7,0,0,0,0,0,27,0,0,0,601,301,0,0,0,0,0,902,0,14,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,3.25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17.75,6.25,3,0,0,27,60,0,593,8,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,8,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,886,16,0,0,0,902,0,0,0,0,17,3,1,0,1.5,4.5,0,27,0,0,0,0,584,127,27,55,35,65,9,902,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,284,,Steven Adams,operator,(660) 726-3935,(660) 726-5823,gas@albanymo.net,SUPPLEMENTAL,1/30/2024,2/2/2024,7100.1-1 (Rev. 06-2023)
6/3/2024,2023,20241247,61114,234,CITY OF ALBANY,916 North Front Street,Albany,,GA,31703,916 NORTH FRONT ST,ALBANY,,GA,31703,Natural Gas,GA,Municipal Owned,0,0,0,398.042,21.873,0,0,0,0,0,419.915,0,0,0,16572,176,0,0,0,0,0,16748,0,256.162,89.88,47,5,0,398.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.683,6.82,8.37,0,0,21.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,262.845,96.7,55.37,5,0,419.915,100,0,16449,105,16,2,0,16572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,9,1,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16615,114,17,2,0,16748,289.954,0,0,0,0,54.38,27,21,5,20.211,2.31,419.855,16565,0,0,0,0,0,0,0,0,102,81,16748,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,6,0,1,5,0,5360,All data submitted was provided by the Operator.,Chris Welborn,Agent,(678) 739-6731,(000) 000-0000,cwelborn@gasauthority.com,INITIAL,3/15/2024,3/15/2024,7100.1-1 (Rev. 06-2023)
6/3/2024,2023,20240566,57566,252,"ALEDO GAS DEPT, CITY OF",9 Executive Woods Ct,Belleville,,IL,62226,120 N COLLEGE AVE BOX 267,ALEDO,,IL,61231,Natural Gas,IL,Municipal Owned,0,0,0,29.741,3.947,0,0,0,0,0,33.688,0,0,0,1388,314,0,0,0,0,0,1702,0,19.685,10.056,0,0,0,29.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.997,0.95,0,0,0,3.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22.682,11.006,0,0,0,33.688,63.5,0,1345,43,0,0,0,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,5,1,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1653,48,1,0,0,1702,0,0,0,22.403,2.881,1,2,2,1,1.392,1.012,33.688,0,0,0,1182,180,21,80,38,68,90,43,1702,0,0,0,0,0,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,796,Excavation damages were hand digging with shovels - repaired coating.,Taylor Browne,,(618) 277-1520,,taylor@usdi.us,INITIAL,3/5/2024,3/5/2024,7100.1-1 (Rev. 06-2023)
